,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100532,237,203917,Nik Stauskas,1610612748,Miami Heat,2,7,28,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,238,9,1,1,20211231,HOU,MIA
1,Shot Chart Detail,0022100532,254,203917,Nik Stauskas,1610612748,Miami Heat,2,6,9,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-22,188,1,0,20211231,HOU,MIA
2,Shot Chart Detail,0022100532,515,203917,Nik Stauskas,1610612748,Miami Heat,4,11,0,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-232,8,1,0,20211231,HOU,MIA
3,Shot Chart Detail,0022100548,171,203917,Nik Stauskas,1610612748,Miami Heat,2,10,15,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,-234,65,1,1,20220102,SAC,MIA
4,Shot Chart Detail,0022100548,181,203917,Nik Stauskas,1610612748,Miami Heat,2,9,10,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-1,16,1,0,20220102,SAC,MIA
5,Shot Chart Detail,0022100548,183,203917,Nik Stauskas,1610612748,Miami Heat,2,9,2,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,8,-86,0,1,0,20220102,SAC,MIA
6,Shot Chart Detail,0022100548,539,203917,Nik Stauskas,1610612748,Miami Heat,4,8,23,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-143,199,1,0,20220102,SAC,MIA
7,Shot Chart Detail,0022100548,543,203917,Nik Stauskas,1610612748,Miami Heat,4,7,40,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,-119,75,1,1,20220102,SAC,MIA
8,Shot Chart Detail,0022100981,654,203917,Nik Stauskas,1610612738,Boston Celtics,4,0,15,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,39,261,1,0,20220309,CHA,BOS
9,Shot Chart Detail,0022101042,636,203917,Nik Stauskas,1610612738,Boston Celtics,4,0,39,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-229,24,1,1,20220316,GSW,BOS
10,Shot Chart Detail,0022101068,571,203917,Nik Stauskas,1610612738,Boston Celtics,4,2,36,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-163,203,1,0,20220320,DEN,BOS
11,Shot Chart Detail,0022101068,575,203917,Nik Stauskas,1610612738,Boston Celtics,4,2,17,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,199,156,1,0,20220320,DEN,BOS
12,Shot Chart Detail,0022101087,576,203917,Nik Stauskas,1610612738,Boston Celtics,4,3,11,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,164,195,1,1,20220323,BOS,UTA
13,Shot Chart Detail,0022101087,590,203917,Nik Stauskas,1610612738,Boston Celtics,4,1,42,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,244,43,1,0,20220323,BOS,UTA
