,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100013,7,1626181,Norman Powell,1610612757,Portland Trail Blazers,1,11,40,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,13,1,0,20211020,POR,SAC
1,Shot Chart Detail,0022100013,21,1626181,Norman Powell,1610612757,Portland Trail Blazers,1,10,25,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,16,31,1,0,20211020,POR,SAC
2,Shot Chart Detail,0022100013,42,1626181,Norman Powell,1610612757,Portland Trail Blazers,1,8,38,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,5,5,1,1,20211020,POR,SAC
3,Shot Chart Detail,0022100013,268,1626181,Norman Powell,1610612757,Portland Trail Blazers,2,4,55,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,8,1,0,20211020,POR,SAC
4,Shot Chart Detail,0022100013,337,1626181,Norman Powell,1610612757,Portland Trail Blazers,2,0,56,Made Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,89,20,1,1,20211020,POR,SAC
5,Shot Chart Detail,0022100013,379,1626181,Norman Powell,1610612757,Portland Trail Blazers,3,10,8,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-82,242,1,0,20211020,POR,SAC
6,Shot Chart Detail,0022100013,406,1626181,Norman Powell,1610612757,Portland Trail Blazers,3,7,31,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-37,25,1,0,20211020,POR,SAC
7,Shot Chart Detail,0022100013,635,1626181,Norman Powell,1610612757,Portland Trail Blazers,4,2,40,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,234,13,1,1,20211020,POR,SAC
8,Shot Chart Detail,0022100013,641,1626181,Norman Powell,1610612757,Portland Trail Blazers,4,1,56,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,85,241,1,0,20211020,POR,SAC
9,Shot Chart Detail,0022100033,18,1626181,Norman Powell,1610612757,Portland Trail Blazers,1,10,19,Missed Shot,Pullup Jump shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-228,5,1,0,20211023,POR,PHX
