,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100006,19,1628384,OG Anunoby,1610612761,Toronto Raptors,1,10,8,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,157,220,1,0,20211020,TOR,WAS
1,Shot Chart Detail,0022100006,38,1628384,OG Anunoby,1610612761,Toronto Raptors,1,8,26,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,1,1,0,20211020,TOR,WAS
2,Shot Chart Detail,0022100006,47,1628384,OG Anunoby,1610612761,Toronto Raptors,1,7,48,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,168,46,1,0,20211020,TOR,WAS
3,Shot Chart Detail,0022100006,70,1628384,OG Anunoby,1610612761,Toronto Raptors,1,5,42,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,156,85,1,0,20211020,TOR,WAS
4,Shot Chart Detail,0022100006,195,1628384,OG Anunoby,1610612761,Toronto Raptors,2,10,13,Missed Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,6,57,1,0,20211020,TOR,WAS
5,Shot Chart Detail,0022100006,304,1628384,OG Anunoby,1610612761,Toronto Raptors,2,4,19,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-228,49,1,0,20211020,TOR,WAS
6,Shot Chart Detail,0022100006,320,1628384,OG Anunoby,1610612761,Toronto Raptors,2,3,23,Made Shot,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211020,TOR,WAS
7,Shot Chart Detail,0022100006,337,1628384,OG Anunoby,1610612761,Toronto Raptors,2,1,48,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,-119,249,1,0,20211020,TOR,WAS
8,Shot Chart Detail,0022100006,351,1628384,OG Anunoby,1610612761,Toronto Raptors,2,0,47,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,18,195,1,0,20211020,TOR,WAS
9,Shot Chart Detail,0022100006,354,1628384,OG Anunoby,1610612761,Toronto Raptors,2,0,42,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,8,1,0,20211020,TOR,WAS
10,Shot Chart Detail,0022100006,447,1628384,OG Anunoby,1610612761,Toronto Raptors,3,6,8,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,134,227,1,0,20211020,TOR,WAS
11,Shot Chart Detail,0022100006,486,1628384,OG Anunoby,1610612761,Toronto Raptors,3,4,5,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,110,234,1,0,20211020,TOR,WAS
12,Shot Chart Detail,0022100006,649,1628384,OG Anunoby,1610612761,Toronto Raptors,4,5,3,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,118,230,1,1,20211020,TOR,WAS
13,Shot Chart Detail,0022100006,655,1628384,OG Anunoby,1610612761,Toronto Raptors,4,4,28,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,-132,240,1,1,20211020,TOR,WAS
14,Shot Chart Detail,0022100006,675,1628384,OG Anunoby,1610612761,Toronto Raptors,4,2,55,Missed Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-7,53,1,0,20211020,TOR,WAS
15,Shot Chart Detail,0022100006,687,1628384,OG Anunoby,1610612761,Toronto Raptors,4,1,59,Missed Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,162,208,1,0,20211020,TOR,WAS
16,Shot Chart Detail,0022100006,705,1628384,OG Anunoby,1610612761,Toronto Raptors,4,0,43,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,29,-190,226,1,0,20211020,TOR,WAS
17,Shot Chart Detail,0022100020,17,1628384,OG Anunoby,1610612761,Toronto Raptors,1,10,55,Missed Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-55,43,1,0,20211022,BOS,TOR
18,Shot Chart Detail,0022100020,145,1628384,OG Anunoby,1610612761,Toronto Raptors,1,1,5,Missed Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,42,14,1,0,20211022,BOS,TOR
19,Shot Chart Detail,0022100020,152,1628384,OG Anunoby,1610612761,Toronto Raptors,1,0,59,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,7,11,1,1,20211022,BOS,TOR
20,Shot Chart Detail,0022100020,156,1628384,OG Anunoby,1610612761,Toronto Raptors,1,0,32,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,16,24,1,0,20211022,BOS,TOR
21,Shot Chart Detail,0022100020,158,1628384,OG Anunoby,1610612761,Toronto Raptors,1,0,28,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20211022,BOS,TOR
22,Shot Chart Detail,0022100020,250,1628384,OG Anunoby,1610612761,Toronto Raptors,2,6,40,Made Shot,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-59,108,1,1,20211022,BOS,TOR
