,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100434,142,1630168,Onyeka Okongwu,1610612737,Atlanta Hawks,1,0,28,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-39,39,1,1,20211217,ATL,DEN
1,Shot Chart Detail,0022100434,160,1630168,Onyeka Okongwu,1610612737,Atlanta Hawks,2,10,52,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,13,1,1,20211217,ATL,DEN
2,Shot Chart Detail,0022100434,179,1630168,Onyeka Okongwu,1610612737,Atlanta Hawks,2,9,26,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,13,1,1,20211217,ATL,DEN
3,Shot Chart Detail,0022100434,524,1630168,Onyeka Okongwu,1610612737,Atlanta Hawks,4,9,38,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,13,1,1,20211217,ATL,DEN
4,Shot Chart Detail,0022100452,158,1630168,Onyeka Okongwu,1610612737,Atlanta Hawks,2,11,39,Made Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-22,49,1,1,20220331,ATL,CLE
5,Shot Chart Detail,0022100452,191,1630168,Onyeka Okongwu,1610612737,Atlanta Hawks,2,8,21,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,44,71,1,1,20220331,ATL,CLE
6,Shot Chart Detail,0022100452,238,1630168,Onyeka Okongwu,1610612737,Atlanta Hawks,2,5,6,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,2,1,1,20220331,ATL,CLE
7,Shot Chart Detail,0022100452,466,1630168,Onyeka Okongwu,1610612737,Atlanta Hawks,3,1,58,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,1,1,1,20220331,ATL,CLE
8,Shot Chart Detail,0022100452,528,1630168,Onyeka Okongwu,1610612737,Atlanta Hawks,4,8,37,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-32,66,1,1,20220331,ATL,CLE
9,Shot Chart Detail,0022100452,545,1630168,Onyeka Okongwu,1610612737,Atlanta Hawks,4,7,23,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20220331,ATL,CLE
10,Shot Chart Detail,0022100470,526,1630168,Onyeka Okongwu,1610612737,Atlanta Hawks,4,7,11,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,0,1,1,20211222,ATL,ORL
11,Shot Chart Detail,0022100470,552,1630168,Onyeka Okongwu,1610612737,Atlanta Hawks,4,5,48,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,4,1,0,20211222,ATL,ORL
