,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100002,222,203490,Otto Porter Jr.,1610612744,Golden State Warriors,2,8,45,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,234,20,1,0,20211019,LAL,GSW
1,Shot Chart Detail,0022100002,252,203490,Otto Porter Jr.,1610612744,Golden State Warriors,2,7,31,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,-4,1,0,20211019,LAL,GSW
2,Shot Chart Detail,0022100002,598,203490,Otto Porter Jr.,1610612744,Golden State Warriors,4,8,58,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,126,231,1,1,20211019,LAL,GSW
3,Shot Chart Detail,0022100016,144,203490,Otto Porter Jr.,1610612744,Golden State Warriors,1,0,42,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,164,178,1,0,20211021,GSW,LAC
4,Shot Chart Detail,0022100016,185,203490,Otto Porter Jr.,1610612744,Golden State Warriors,2,10,12,Made Shot,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,154,11,1,1,20211021,GSW,LAC
5,Shot Chart Detail,0022100016,204,203490,Otto Porter Jr.,1610612744,Golden State Warriors,2,8,33,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,8,1,1,20211021,GSW,LAC
6,Shot Chart Detail,0022100039,153,203490,Otto Porter Jr.,1610612744,Golden State Warriors,2,10,54,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,23,29,1,1,20211024,SAC,GSW
7,Shot Chart Detail,0022100039,157,203490,Otto Porter Jr.,1610612744,Golden State Warriors,2,10,9,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,216,155,1,0,20211024,SAC,GSW
8,Shot Chart Detail,0022100039,170,203490,Otto Porter Jr.,1610612744,Golden State Warriors,2,8,46,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,-26,163,1,0,20211024,SAC,GSW
9,Shot Chart Detail,0022100039,196,203490,Otto Porter Jr.,1610612744,Golden State Warriors,2,7,41,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,23,17,1,0,20211024,SAC,GSW
10,Shot Chart Detail,0022100039,428,203490,Otto Porter Jr.,1610612744,Golden State Warriors,3,4,33,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,229,90,1,0,20211024,SAC,GSW
11,Shot Chart Detail,0022100039,493,203490,Otto Porter Jr.,1610612744,Golden State Warriors,3,0,2,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,13,19,1,1,20211024,SAC,GSW
12,Shot Chart Detail,0022100051,220,203490,Otto Porter Jr.,1610612744,Golden State Warriors,1,2,5,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,37,62,1,0,20211026,OKC,GSW
13,Shot Chart Detail,0022100051,182,203490,Otto Porter Jr.,1610612744,Golden State Warriors,2,10,28,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,-1,1,0,20211026,OKC,GSW
14,Shot Chart Detail,0022100051,195,203490,Otto Porter Jr.,1610612744,Golden State Warriors,2,8,51,Missed Shot,Jump Shot,3PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,22,219,28,1,0,20211026,OKC,GSW
15,Shot Chart Detail,0022100051,488,203490,Otto Porter Jr.,1610612744,Golden State Warriors,3,1,1,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-197,168,1,1,20211026,OKC,GSW
16,Shot Chart Detail,0022100051,497,203490,Otto Porter Jr.,1610612744,Golden State Warriors,3,0,24,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-234,30,1,1,20211026,OKC,GSW
17,Shot Chart Detail,0022100051,562,203490,Otto Porter Jr.,1610612744,Golden State Warriors,4,7,4,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-237,29,1,0,20211026,OKC,GSW
18,Shot Chart Detail,0022100070,134,203490,Otto Porter Jr.,1610612744,Golden State Warriors,1,1,46,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,-168,213,1,1,20211028,GSW,MEM
19,Shot Chart Detail,0022100070,148,203490,Otto Porter Jr.,1610612744,Golden State Warriors,1,1,13,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,211,177,1,1,20211028,GSW,MEM
20,Shot Chart Detail,0022100070,160,203490,Otto Porter Jr.,1610612744,Golden State Warriors,1,0,15,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,22,21,1,1,20211028,GSW,MEM
21,Shot Chart Detail,0022100070,443,203490,Otto Porter Jr.,1610612744,Golden State Warriors,3,2,37,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,178,199,1,0,20211028,GSW,MEM
22,Shot Chart Detail,0022100086,130,203490,Otto Porter Jr.,1610612744,Golden State Warriors,1,2,4,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,74,153,1,1,20211030,GSW,OKC
23,Shot Chart Detail,0022100086,137,203490,Otto Porter Jr.,1610612744,Golden State Warriors,1,1,2,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-230,39,1,0,20211030,GSW,OKC
24,Shot Chart Detail,0022100086,168,203490,Otto Porter Jr.,1610612744,Golden State Warriors,2,10,20,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,119,178,1,1,20211030,GSW,OKC
25,Shot Chart Detail,0022100086,449,203490,Otto Porter Jr.,1610612744,Golden State Warriors,3,1,21,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-151,204,1,0,20211030,GSW,OKC
26,Shot Chart Detail,0022100086,555,203490,Otto Porter Jr.,1610612744,Golden State Warriors,4,6,30,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-208,127,1,1,20211030,GSW,OKC
27,Shot Chart Detail,0022100086,559,203490,Otto Porter Jr.,1610612744,Golden State Warriors,4,6,6,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-130,216,1,1,20211030,GSW,OKC
28,Shot Chart Detail,0022100117,186,203490,Otto Porter Jr.,1610612744,Golden State Warriors,2,10,27,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-1,265,1,0,20211103,GSW,CHA
29,Shot Chart Detail,0022100117,193,203490,Otto Porter Jr.,1610612744,Golden State Warriors,2,9,26,Missed Shot,Reverse Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-50,29,1,0,20211103,GSW,CHA
30,Shot Chart Detail,0022100117,544,203490,Otto Porter Jr.,1610612744,Golden State Warriors,4,9,4,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,103,159,1,1,20211103,GSW,CHA
31,Shot Chart Detail,0022100130,151,203490,Otto Porter Jr.,1610612744,Golden State Warriors,1,0,55,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,-213,173,1,1,20211105,GSW,NOP
32,Shot Chart Detail,0022100130,155,203490,Otto Porter Jr.,1610612744,Golden State Warriors,1,0,36,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-175,183,1,1,20211105,GSW,NOP
33,Shot Chart Detail,0022100130,241,203490,Otto Porter Jr.,1610612744,Golden State Warriors,2,4,51,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-180,192,1,0,20211105,GSW,NOP
34,Shot Chart Detail,0022100130,261,203490,Otto Porter Jr.,1610612744,Golden State Warriors,2,3,26,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,225,9,1,0,20211105,GSW,NOP
35,Shot Chart Detail,0022100130,285,203490,Otto Porter Jr.,1610612744,Golden State Warriors,2,1,24,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,-212,169,1,0,20211105,GSW,NOP
36,Shot Chart Detail,0022100130,291,203490,Otto Porter Jr.,1610612744,Golden State Warriors,2,0,56,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-1,21,1,1,20211105,GSW,NOP
37,Shot Chart Detail,0022100130,520,203490,Otto Porter Jr.,1610612744,Golden State Warriors,4,11,28,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,194,188,1,0,20211105,GSW,NOP
38,Shot Chart Detail,0022100145,156,203490,Otto Porter Jr.,1610612744,Golden State Warriors,1,1,45,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,227,50,1,0,20211107,GSW,HOU
39,Shot Chart Detail,0022100145,218,203490,Otto Porter Jr.,1610612744,Golden State Warriors,2,10,27,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,23,-125,204,1,1,20211107,GSW,HOU
