,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100001,74,1626192,Pat Connaughton,1610612749,Milwaukee Bucks,1,6,19,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-221,142,1,1,20211019,MIL,BKN
1,Shot Chart Detail,0022100001,81,1626192,Pat Connaughton,1610612749,Milwaukee Bucks,1,5,27,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,-47,269,1,0,20211019,MIL,BKN
2,Shot Chart Detail,0022100001,117,1626192,Pat Connaughton,1610612749,Milwaukee Bucks,1,3,55,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,104,235,1,1,20211019,MIL,BKN
3,Shot Chart Detail,0022100001,129,1626192,Pat Connaughton,1610612749,Milwaukee Bucks,1,2,53,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,4,22,1,1,20211019,MIL,BKN
4,Shot Chart Detail,0022100001,156,1626192,Pat Connaughton,1610612749,Milwaukee Bucks,1,0,32,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,25,-243,72,1,0,20211019,MIL,BKN
5,Shot Chart Detail,0022100001,162,1626192,Pat Connaughton,1610612749,Milwaukee Bucks,1,0,0,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,240,35,1,0,20211019,MIL,BKN
6,Shot Chart Detail,0022100001,397,1626192,Pat Connaughton,1610612749,Milwaukee Bucks,3,6,58,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-233,-3,1,0,20211019,MIL,BKN
7,Shot Chart Detail,0022100001,511,1626192,Pat Connaughton,1610612749,Milwaukee Bucks,3,0,35,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,7,1,1,20211019,MIL,BKN
8,Shot Chart Detail,0022100001,549,1626192,Pat Connaughton,1610612749,Milwaukee Bucks,4,9,12,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,16,1,1,20211019,MIL,BKN
9,Shot Chart Detail,0022100001,597,1626192,Pat Connaughton,1610612749,Milwaukee Bucks,4,6,33,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,118,244,1,0,20211019,MIL,BKN
10,Shot Chart Detail,0022100001,625,1626192,Pat Connaughton,1610612749,Milwaukee Bucks,4,4,16,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,110,257,1,1,20211019,MIL,BKN
11,Shot Chart Detail,0022100001,642,1626192,Pat Connaughton,1610612749,Milwaukee Bucks,4,3,15,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,5,7,1,1,20211019,MIL,BKN
12,Shot Chart Detail,0022100001,665,1626192,Pat Connaughton,1610612749,Milwaukee Bucks,4,1,48,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-143,222,1,1,20211019,MIL,BKN
13,Shot Chart Detail,0022100015,23,1626192,Pat Connaughton,1610612749,Milwaukee Bucks,1,10,59,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-17,5,1,1,20211021,MIA,MIL
14,Shot Chart Detail,0022100015,27,1626192,Pat Connaughton,1610612749,Milwaukee Bucks,1,10,36,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,62,252,1,0,20211021,MIA,MIL
15,Shot Chart Detail,0022100015,44,1626192,Pat Connaughton,1610612749,Milwaukee Bucks,1,9,8,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-229,122,1,0,20211021,MIA,MIL
16,Shot Chart Detail,0022100015,218,1626192,Pat Connaughton,1610612749,Milwaukee Bucks,2,9,52,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,61,255,1,0,20211021,MIA,MIL
17,Shot Chart Detail,0022100015,383,1626192,Pat Connaughton,1610612749,Milwaukee Bucks,2,0,20,Made Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-53,42,1,1,20211021,MIA,MIL
18,Shot Chart Detail,0022100015,588,1626192,Pat Connaughton,1610612749,Milwaukee Bucks,4,11,41,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-38,97,1,1,20211021,MIA,MIL
19,Shot Chart Detail,0022100032,15,1626192,Pat Connaughton,1610612749,Milwaukee Bucks,1,10,59,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211023,SAS,MIL
20,Shot Chart Detail,0022100032,198,1626192,Pat Connaughton,1610612749,Milwaukee Bucks,2,8,13,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,4,257,1,1,20211023,SAS,MIL
21,Shot Chart Detail,0022100032,279,1626192,Pat Connaughton,1610612749,Milwaukee Bucks,2,3,11,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-100,232,1,0,20211023,SAS,MIL
22,Shot Chart Detail,0022100032,317,1626192,Pat Connaughton,1610612749,Milwaukee Bucks,2,0,5,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-70,249,1,0,20211023,SAS,MIL
23,Shot Chart Detail,0022100032,338,1626192,Pat Connaughton,1610612749,Milwaukee Bucks,3,11,49,Made Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,4,1,1,20211023,SAS,MIL
24,Shot Chart Detail,0022100032,421,1626192,Pat Connaughton,1610612749,Milwaukee Bucks,3,5,13,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,8,1,0,20211023,SAS,MIL
25,Shot Chart Detail,0022100032,501,1626192,Pat Connaughton,1610612749,Milwaukee Bucks,4,11,20,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,6,1,1,20211023,SAS,MIL
26,Shot Chart Detail,0022100032,612,1626192,Pat Connaughton,1610612749,Milwaukee Bucks,4,3,58,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-124,224,1,1,20211023,SAS,MIL
27,Shot Chart Detail,0022100032,628,1626192,Pat Connaughton,1610612749,Milwaukee Bucks,4,3,6,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,168,187,1,1,20211023,SAS,MIL
28,Shot Chart Detail,0022100042,80,1626192,Pat Connaughton,1610612749,Milwaukee Bucks,1,6,13,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,5,75,1,0,20211025,IND,MIL
29,Shot Chart Detail,0022100042,83,1626192,Pat Connaughton,1610612749,Milwaukee Bucks,1,5,32,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-229,0,1,0,20211025,IND,MIL
30,Shot Chart Detail,0022100042,331,1626192,Pat Connaughton,1610612749,Milwaukee Bucks,2,2,37,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-18,265,1,0,20211025,IND,MIL
31,Shot Chart Detail,0022100042,355,1626192,Pat Connaughton,1610612749,Milwaukee Bucks,2,0,48,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,20,1,1,20211025,IND,MIL
32,Shot Chart Detail,0022100042,512,1626192,Pat Connaughton,1610612749,Milwaukee Bucks,3,2,38,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-78,253,1,0,20211025,IND,MIL
33,Shot Chart Detail,0022100042,535,1626192,Pat Connaughton,1610612749,Milwaukee Bucks,3,1,28,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,161,189,1,1,20211025,IND,MIL
34,Shot Chart Detail,0022100042,601,1626192,Pat Connaughton,1610612749,Milwaukee Bucks,4,11,6,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,229,24,1,1,20211025,IND,MIL
35,Shot Chart Detail,0022100042,672,1626192,Pat Connaughton,1610612749,Milwaukee Bucks,4,4,54,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-225,24,1,1,20211025,IND,MIL
36,Shot Chart Detail,0022100042,725,1626192,Pat Connaughton,1610612749,Milwaukee Bucks,4,0,55,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,115,230,1,0,20211025,IND,MIL
37,Shot Chart Detail,0022100060,11,1626192,Pat Connaughton,1610612749,Milwaukee Bucks,1,11,16,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,-194,190,1,0,20211027,MIL,MIN
38,Shot Chart Detail,0022100060,16,1626192,Pat Connaughton,1610612749,Milwaukee Bucks,1,10,49,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-229,-5,1,1,20211027,MIL,MIN
39,Shot Chart Detail,0022100060,38,1626192,Pat Connaughton,1610612749,Milwaukee Bucks,1,8,20,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-235,24,1,1,20211027,MIL,MIN
40,Shot Chart Detail,0022100060,43,1626192,Pat Connaughton,1610612749,Milwaukee Bucks,1,7,27,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,28,-12,285,1,0,20211027,MIL,MIN
41,Shot Chart Detail,0022100060,184,1626192,Pat Connaughton,1610612749,Milwaukee Bucks,2,11,25,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-151,218,1,0,20211027,MIL,MIN
