,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100031,138,201976,Patrick Beverley,1610612750,Minnesota Timberwolves,1,2,47,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-148,204,1,1,20211023,MIN,NOP
1,Shot Chart Detail,0022100031,190,201976,Patrick Beverley,1610612750,Minnesota Timberwolves,2,11,47,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,1,1,1,20211023,MIN,NOP
2,Shot Chart Detail,0022100031,220,201976,Patrick Beverley,1610612750,Minnesota Timberwolves,2,8,46,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,210,139,1,0,20211023,MIN,NOP
3,Shot Chart Detail,0022100031,248,201976,Patrick Beverley,1610612750,Minnesota Timberwolves,2,7,11,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-120,235,1,0,20211023,MIN,NOP
4,Shot Chart Detail,0022100031,463,201976,Patrick Beverley,1610612750,Minnesota Timberwolves,3,5,21,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,121,221,1,0,20211023,MIN,NOP
5,Shot Chart Detail,0022100031,483,201976,Patrick Beverley,1610612750,Minnesota Timberwolves,3,4,8,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-159,211,1,0,20211023,MIN,NOP
6,Shot Chart Detail,0022100047,94,201976,Patrick Beverley,1610612750,Minnesota Timberwolves,1,5,17,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,91,239,1,1,20211025,MIN,NOP
7,Shot Chart Detail,0022100047,135,201976,Patrick Beverley,1610612750,Minnesota Timberwolves,1,2,41,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,9,50,80,1,0,20211025,MIN,NOP
8,Shot Chart Detail,0022100047,221,201976,Patrick Beverley,1610612750,Minnesota Timberwolves,2,9,44,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,228,49,1,1,20211025,MIN,NOP
9,Shot Chart Detail,0022100047,538,201976,Patrick Beverley,1610612750,Minnesota Timberwolves,4,11,49,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-222,24,1,1,20211025,MIN,NOP
10,Shot Chart Detail,0022100047,560,201976,Patrick Beverley,1610612750,Minnesota Timberwolves,4,10,11,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,228,-2,1,1,20211025,MIN,NOP
11,Shot Chart Detail,0022100047,594,201976,Patrick Beverley,1610612750,Minnesota Timberwolves,4,8,6,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,230,16,1,0,20211025,MIN,NOP
12,Shot Chart Detail,0022100060,125,201976,Patrick Beverley,1610612750,Minnesota Timberwolves,1,2,32,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-227,115,1,1,20211027,MIL,MIN
13,Shot Chart Detail,0022100060,158,201976,Patrick Beverley,1610612750,Minnesota Timberwolves,1,0,41,Missed Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,173,216,1,0,20211027,MIL,MIN
14,Shot Chart Detail,0022100060,202,201976,Patrick Beverley,1610612750,Minnesota Timberwolves,2,10,18,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-153,222,1,0,20211027,MIL,MIN
15,Shot Chart Detail,0022100060,208,201976,Patrick Beverley,1610612750,Minnesota Timberwolves,2,9,47,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-76,258,1,1,20211027,MIL,MIN
16,Shot Chart Detail,0022100060,564,201976,Patrick Beverley,1610612750,Minnesota Timberwolves,4,9,8,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,30,136,271,1,0,20211027,MIL,MIN
17,Shot Chart Detail,0022100060,586,201976,Patrick Beverley,1610612750,Minnesota Timberwolves,4,7,43,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,30,-142,266,1,0,20211027,MIL,MIN
18,Shot Chart Detail,0022100087,138,201976,Patrick Beverley,1610612750,Minnesota Timberwolves,1,1,52,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,5,1,1,20211030,MIN,DEN
19,Shot Chart Detail,0022100087,191,201976,Patrick Beverley,1610612750,Minnesota Timberwolves,2,10,4,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-31,11,1,0,20211030,MIN,DEN
20,Shot Chart Detail,0022100087,493,201976,Patrick Beverley,1610612750,Minnesota Timberwolves,3,2,13,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,217,115,1,0,20211030,MIN,DEN
21,Shot Chart Detail,0022100087,520,201976,Patrick Beverley,1610612750,Minnesota Timberwolves,4,11,41,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,5,1,1,20211030,MIN,DEN
22,Shot Chart Detail,0022100087,556,201976,Patrick Beverley,1610612750,Minnesota Timberwolves,4,8,57,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,140,215,1,1,20211030,MIN,DEN
