,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100016,28,202331,Paul George,1610612746,LA Clippers,1,9,29,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,-85,158,1,0,20211021,GSW,LAC
1,Shot Chart Detail,0022100016,46,202331,Paul George,1610612746,LA Clippers,1,8,24,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-27,175,1,1,20211021,GSW,LAC
2,Shot Chart Detail,0022100016,59,202331,Paul George,1610612746,LA Clippers,1,7,23,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,18,1,1,20211021,GSW,LAC
3,Shot Chart Detail,0022100016,80,202331,Paul George,1610612746,LA Clippers,1,5,59,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,1,1,1,20211021,GSW,LAC
4,Shot Chart Detail,0022100016,125,202331,Paul George,1610612746,LA Clippers,1,2,3,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-43,244,1,0,20211021,GSW,LAC
5,Shot Chart Detail,0022100016,129,202331,Paul George,1610612746,LA Clippers,1,1,45,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,8,1,0,20211021,GSW,LAC
6,Shot Chart Detail,0022100016,159,202331,Paul George,1610612746,LA Clippers,2,11,41,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,141,215,1,1,20211021,GSW,LAC
7,Shot Chart Detail,0022100016,262,202331,Paul George,1610612746,LA Clippers,2,5,4,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,225,68,1,0,20211021,GSW,LAC
8,Shot Chart Detail,0022100016,270,202331,Paul George,1610612746,LA Clippers,2,3,59,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,-80,189,1,1,20211021,GSW,LAC
9,Shot Chart Detail,0022100016,274,202331,Paul George,1610612746,LA Clippers,2,3,39,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-148,206,1,1,20211021,GSW,LAC
10,Shot Chart Detail,0022100016,295,202331,Paul George,1610612746,LA Clippers,2,2,22,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,11,13,1,1,20211021,GSW,LAC
11,Shot Chart Detail,0022100016,315,202331,Paul George,1610612746,LA Clippers,2,1,45,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-96,242,1,1,20211021,GSW,LAC
12,Shot Chart Detail,0022100016,321,202331,Paul George,1610612746,LA Clippers,2,1,17,Made Shot,Turnaround Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,207,130,1,1,20211021,GSW,LAC
13,Shot Chart Detail,0022100016,405,202331,Paul George,1610612746,LA Clippers,3,8,42,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,11,250,1,0,20211021,GSW,LAC
