,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100021,87,200794,Paul Millsap,1610612751,Brooklyn Nets,1,4,39,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-66,248,1,1,20211022,PHI,BKN
1,Shot Chart Detail,0022100021,100,200794,Paul Millsap,1610612751,Brooklyn Nets,1,3,26,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211022,PHI,BKN
2,Shot Chart Detail,0022100021,435,200794,Paul Millsap,1610612751,Brooklyn Nets,3,2,54,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-228,27,1,0,20211022,PHI,BKN
3,Shot Chart Detail,0022100021,437,200794,Paul Millsap,1610612751,Brooklyn Nets,3,2,51,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,-8,1,1,20211022,PHI,BKN
4,Shot Chart Detail,0022100021,474,200794,Paul Millsap,1610612751,Brooklyn Nets,3,0,0,Missed Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-137,215,1,0,20211022,PHI,BKN
5,Shot Chart Detail,0022100021,487,200794,Paul Millsap,1610612751,Brooklyn Nets,4,10,48,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,2,243,1,0,20211022,PHI,BKN
6,Shot Chart Detail,0022100035,128,200794,Paul Millsap,1610612751,Brooklyn Nets,1,2,53,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,110,243,1,1,20211024,BKN,CHA
7,Shot Chart Detail,0022100035,146,200794,Paul Millsap,1610612751,Brooklyn Nets,1,2,6,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-134,216,1,0,20211024,BKN,CHA
8,Shot Chart Detail,0022100035,273,200794,Paul Millsap,1610612751,Brooklyn Nets,2,5,35,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,89,27,1,0,20211024,BKN,CHA
9,Shot Chart Detail,0022100044,231,200794,Paul Millsap,1610612751,Brooklyn Nets,2,6,55,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,97,248,1,0,20211025,BKN,WAS
10,Shot Chart Detail,0022100057,181,200794,Paul Millsap,1610612751,Brooklyn Nets,2,10,38,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-26,6,1,1,20211027,BKN,MIA
11,Shot Chart Detail,0022100057,184,200794,Paul Millsap,1610612751,Brooklyn Nets,2,10,12,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,18,256,1,1,20211027,BKN,MIA
12,Shot Chart Detail,0022100057,514,200794,Paul Millsap,1610612751,Brooklyn Nets,4,10,55,Missed Shot,Driving Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-12,30,1,0,20211027,BKN,MIA
13,Shot Chart Detail,0022100057,522,200794,Paul Millsap,1610612751,Brooklyn Nets,4,10,22,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-225,19,1,0,20211027,BKN,MIA
14,Shot Chart Detail,0022100057,558,200794,Paul Millsap,1610612751,Brooklyn Nets,4,8,6,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,232,-26,1,0,20211027,BKN,MIA
15,Shot Chart Detail,0022100072,229,200794,Paul Millsap,1610612751,Brooklyn Nets,2,9,3,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-13,33,1,1,20211029,BKN,IND
16,Shot Chart Detail,0022100072,259,200794,Paul Millsap,1610612751,Brooklyn Nets,2,7,32,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,5,91,1,1,20211029,BKN,IND
17,Shot Chart Detail,0022100072,287,200794,Paul Millsap,1610612751,Brooklyn Nets,2,6,1,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,12,1,0,20211029,BKN,IND
18,Shot Chart Detail,0022100072,302,200794,Paul Millsap,1610612751,Brooklyn Nets,2,4,59,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-78,242,1,0,20211029,BKN,IND
19,Shot Chart Detail,0022100113,211,200794,Paul Millsap,1610612751,Brooklyn Nets,2,7,45,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,5,57,1,0,20211103,BKN,ATL
20,Shot Chart Detail,0022100113,229,200794,Paul Millsap,1610612751,Brooklyn Nets,2,6,7,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-96,236,1,0,20211103,BKN,ATL
21,Shot Chart Detail,0022100113,541,200794,Paul Millsap,1610612751,Brooklyn Nets,4,7,13,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,3,1,1,20211103,BKN,ATL
22,Shot Chart Detail,0022100124,169,200794,Paul Millsap,1610612751,Brooklyn Nets,2,10,41,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,88,42,1,0,20211105,DET,BKN
23,Shot Chart Detail,0022100124,194,200794,Paul Millsap,1610612751,Brooklyn Nets,2,9,2,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,-80,-8,1,0,20211105,DET,BKN
24,Shot Chart Detail,0022100124,242,200794,Paul Millsap,1610612751,Brooklyn Nets,2,5,53,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,142,13,1,0,20211105,DET,BKN
25,Shot Chart Detail,0022100148,168,200794,Paul Millsap,1610612751,Brooklyn Nets,2,9,6,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-17,8,1,0,20211108,CHI,BKN
26,Shot Chart Detail,0022100148,198,200794,Paul Millsap,1610612751,Brooklyn Nets,2,6,51,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,232,-8,1,0,20211108,CHI,BKN
27,Shot Chart Detail,0022100159,164,200794,Paul Millsap,1610612751,Brooklyn Nets,2,11,36,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,186,175,1,0,20211110,ORL,BKN
28,Shot Chart Detail,0022100159,557,200794,Paul Millsap,1610612751,Brooklyn Nets,4,10,27,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-232,13,1,1,20211110,ORL,BKN
29,Shot Chart Detail,0022100159,568,200794,Paul Millsap,1610612751,Brooklyn Nets,4,9,46,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-234,8,1,0,20211110,ORL,BKN
30,Shot Chart Detail,0022100159,644,200794,Paul Millsap,1610612751,Brooklyn Nets,4,3,42,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211110,ORL,BKN
31,Shot Chart Detail,0022100179,165,200794,Paul Millsap,1610612751,Brooklyn Nets,2,10,22,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,29,-5,1,1,20211112,NOP,BKN
32,Shot Chart Detail,0022100253,228,200794,Paul Millsap,1610612751,Brooklyn Nets,2,6,57,Missed Shot,Cutting Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-20,36,1,0,20211122,CLE,BKN
33,Shot Chart Detail,0022100253,240,200794,Paul Millsap,1610612751,Brooklyn Nets,2,5,48,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-136,222,1,0,20211122,CLE,BKN
34,Shot Chart Detail,0022100253,520,200794,Paul Millsap,1610612751,Brooklyn Nets,4,11,38,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,5,6,1,1,20211122,CLE,BKN
35,Shot Chart Detail,0022100253,573,200794,Paul Millsap,1610612751,Brooklyn Nets,4,8,9,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-48,99,1,0,20211122,CLE,BKN
36,Shot Chart Detail,0022100270,135,200794,Paul Millsap,1610612751,Brooklyn Nets,1,1,9,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-28,66,1,0,20211124,BOS,BKN
37,Shot Chart Detail,0022100270,156,200794,Paul Millsap,1610612751,Brooklyn Nets,1,0,8,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-221,124,1,0,20211124,BOS,BKN
38,Shot Chart Detail,0022100270,171,200794,Paul Millsap,1610612751,Brooklyn Nets,2,11,40,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,141,211,1,1,20211124,BOS,BKN
39,Shot Chart Detail,0022100270,225,200794,Paul Millsap,1610612751,Brooklyn Nets,2,8,41,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,112,153,1,0,20211124,BOS,BKN
40,Shot Chart Detail,0022100270,633,200794,Paul Millsap,1610612751,Brooklyn Nets,4,2,49,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,-91,258,1,0,20211124,BOS,BKN
41,Shot Chart Detail,0022100294,125,200794,Paul Millsap,1610612751,Brooklyn Nets,1,1,29,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,26,250,1,0,20211127,BKN,PHX
42,Shot Chart Detail,0022100294,207,200794,Paul Millsap,1610612751,Brooklyn Nets,2,7,43,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,4,1,1,20211127,BKN,PHX
43,Shot Chart Detail,0022100314,460,200794,Paul Millsap,1610612751,Brooklyn Nets,3,0,1,Missed Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,3,1,0,20211130,BKN,NYK
44,Shot Chart Detail,0022100314,463,200794,Paul Millsap,1610612751,Brooklyn Nets,3,0,0,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,5,1,0,20211130,BKN,NYK
45,Shot Chart Detail,0022100314,480,200794,Paul Millsap,1610612751,Brooklyn Nets,4,11,27,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20211130,BKN,NYK
46,Shot Chart Detail,0022100336,156,200794,Paul Millsap,1610612751,Brooklyn Nets,1,1,1,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,229,11,1,0,20211203,BKN,MIN
47,Shot Chart Detail,0022100336,168,200794,Paul Millsap,1610612751,Brooklyn Nets,1,0,11,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,8,1,1,20211203,BKN,MIN
