,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100228,590,1627822,Petr Cornelie,1610612743,Denver Nuggets,4,1,41,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,78,236,1,0,20211118,DEN,PHI
1,Shot Chart Detail,0022100251,634,1627822,Petr Cornelie,1610612743,Denver Nuggets,4,6,37,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,235,27,1,0,20211121,PHX,DEN
2,Shot Chart Detail,0022100251,662,1627822,Petr Cornelie,1610612743,Denver Nuggets,4,4,29,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-85,256,1,0,20211121,PHX,DEN
3,Shot Chart Detail,0022100265,585,1627822,Petr Cornelie,1610612743,Denver Nuggets,4,3,19,Missed Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,12,1,0,20211123,POR,DEN
4,Shot Chart Detail,0022100288,606,1627822,Petr Cornelie,1610612743,Denver Nuggets,4,1,48,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,201,160,1,0,20211126,DEN,MIL
5,Shot Chart Detail,0022100288,611,1627822,Petr Cornelie,1610612743,Denver Nuggets,4,1,46,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,12,1,1,20211126,DEN,MIL
6,Shot Chart Detail,0022100288,628,1627822,Petr Cornelie,1610612743,Denver Nuggets,4,0,25,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,1,1,1,20211126,DEN,MIL
7,Shot Chart Detail,0022100357,651,1627822,Petr Cornelie,1610612743,Denver Nuggets,4,0,32,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,-164,127,1,0,20211206,CHI,DEN
8,Shot Chart Detail,0022100357,659,1627822,Petr Cornelie,1610612743,Denver Nuggets,4,0,6,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-227,73,1,0,20211206,CHI,DEN
9,Shot Chart Detail,0022100424,601,1627822,Petr Cornelie,1610612743,Denver Nuggets,4,3,25,Made Shot,Hook Bank Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,-72,41,1,1,20211215,DEN,MIN
10,Shot Chart Detail,0022100424,634,1627822,Petr Cornelie,1610612743,Denver Nuggets,4,1,21,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,93,240,1,0,20211215,DEN,MIN
11,Shot Chart Detail,0022100424,641,1627822,Petr Cornelie,1610612743,Denver Nuggets,4,0,40,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,1,1,1,20211215,DEN,MIN
12,Shot Chart Detail,0022100434,635,1627822,Petr Cornelie,1610612743,Denver Nuggets,4,2,40,Missed Shot,Step Back Jump shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-229,0,1,0,20211217,ATL,DEN
13,Shot Chart Detail,0022100474,642,1627822,Petr Cornelie,1610612743,Denver Nuggets,4,0,22,Missed Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,3,1,0,20211222,OKC,DEN
14,Shot Chart Detail,0022100543,703,1627822,Petr Cornelie,1610612743,Denver Nuggets,4,0,24,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,158,236,1,1,20220101,HOU,DEN
