,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100490,144,1629683,Quinndary Weatherspoon,1610612744,Golden State Warriors,1,0,57,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,5,1,1,20211225,PHX,GSW
1,Shot Chart Detail,0022100490,219,1629683,Quinndary Weatherspoon,1610612744,Golden State Warriors,2,9,1,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,10,1,1,20211225,PHX,GSW
2,Shot Chart Detail,0022100490,509,1629683,Quinndary Weatherspoon,1610612744,Golden State Warriors,3,0,19,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,16,1,1,20211225,PHX,GSW
3,Shot Chart Detail,0022100528,138,1629683,Quinndary Weatherspoon,1610612744,Golden State Warriors,1,2,34,Missed Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,32,9,1,0,20220307,DEN,GSW
4,Shot Chart Detail,0022100528,204,1629683,Quinndary Weatherspoon,1610612744,Golden State Warriors,2,9,15,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,26,10,1,1,20220307,DEN,GSW
5,Shot Chart Detail,0022100528,213,1629683,Quinndary Weatherspoon,1610612744,Golden State Warriors,2,8,49,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,142,218,1,1,20220307,DEN,GSW
6,Shot Chart Detail,0022100528,466,1629683,Quinndary Weatherspoon,1610612744,Golden State Warriors,3,2,40,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-21,8,1,1,20220307,DEN,GSW
7,Shot Chart Detail,0022100528,489,1629683,Quinndary Weatherspoon,1610612744,Golden State Warriors,3,1,7,Made Shot,Reverse Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-36,25,1,1,20220307,DEN,GSW
8,Shot Chart Detail,0022100572,675,1629683,Quinndary Weatherspoon,1610612744,Golden State Warriors,4,0,30,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,15,1,1,20220105,DAL,GSW
9,Shot Chart Detail,0022100771,143,1629683,Quinndary Weatherspoon,1610612744,Golden State Warriors,1,0,39,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,1,1,0,20220201,SAS,GSW
10,Shot Chart Detail,0022100771,215,1629683,Quinndary Weatherspoon,1610612744,Golden State Warriors,2,7,53,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-25,-8,1,1,20220201,SAS,GSW
11,Shot Chart Detail,0022100771,479,1629683,Quinndary Weatherspoon,1610612744,Golden State Warriors,4,11,20,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,199,154,1,0,20220201,SAS,GSW
12,Shot Chart Detail,0022100771,487,1629683,Quinndary Weatherspoon,1610612744,Golden State Warriors,4,10,36,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,-9,1,0,20220201,SAS,GSW
13,Shot Chart Detail,0022100771,489,1629683,Quinndary Weatherspoon,1610612744,Golden State Warriors,4,10,32,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20220201,SAS,GSW
14,Shot Chart Detail,0022100785,604,1629683,Quinndary Weatherspoon,1610612744,Golden State Warriors,4,2,1,Missed Shot,Cutting Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,45,20,1,0,20220203,GSW,SAC
15,Shot Chart Detail,0022101008,660,1629683,Quinndary Weatherspoon,1610612744,Golden State Warriors,4,2,14,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-27,20,1,1,20220312,GSW,MIL
16,Shot Chart Detail,0022101008,673,1629683,Quinndary Weatherspoon,1610612744,Golden State Warriors,4,0,41,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-118,235,1,0,20220312,GSW,MIL
17,Shot Chart Detail,0022101042,451,1629683,Quinndary Weatherspoon,1610612744,Golden State Warriors,3,1,44,Made Shot,Cutting Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-31,26,1,1,20220316,GSW,BOS
18,Shot Chart Detail,0022101042,575,1629683,Quinndary Weatherspoon,1610612744,Golden State Warriors,4,6,4,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,12,67,110,1,0,20220316,GSW,BOS
19,Shot Chart Detail,0022101042,638,1629683,Quinndary Weatherspoon,1610612744,Golden State Warriors,4,0,25,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,-172,212,1,0,20220316,GSW,BOS
20,Shot Chart Detail,0022101176,636,1629683,Quinndary Weatherspoon,1610612744,Golden State Warriors,4,1,2,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,-241,16,1,0,20220403,SAC,GSW
