,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100017,669,1630612,RJ Nembhard Jr.,1610612739,Cleveland Cavaliers,4,1,4,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,4,1,1,20211022,CLE,CHA
1,Shot Chart Detail,0022100446,619,1630612,RJ Nembhard Jr.,1610612739,Cleveland Cavaliers,4,1,59,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-29,6,1,1,20211218,MIL,CLE
2,Shot Chart Detail,0022100494,531,1630612,RJ Nembhard Jr.,1610612739,Cleveland Cavaliers,4,11,15,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,58,140,1,0,20211226,CLE,TOR
3,Shot Chart Detail,0022100494,562,1630612,RJ Nembhard Jr.,1610612739,Cleveland Cavaliers,4,8,52,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,11,1,1,1,20211226,CLE,TOR
4,Shot Chart Detail,0022100494,615,1630612,RJ Nembhard Jr.,1610612739,Cleveland Cavaliers,4,4,31,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-1,1,1,20211226,CLE,TOR
5,Shot Chart Detail,0022100494,650,1630612,RJ Nembhard Jr.,1610612739,Cleveland Cavaliers,4,2,40,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,11,57,1,0,20211226,CLE,TOR
6,Shot Chart Detail,0022100527,260,1630612,RJ Nembhard Jr.,1610612739,Cleveland Cavaliers,2,6,4,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,14,1,1,20211230,WAS,CLE
7,Shot Chart Detail,0022100527,298,1630612,RJ Nembhard Jr.,1610612739,Cleveland Cavaliers,2,3,25,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,60,17,1,0,20211230,WAS,CLE
8,Shot Chart Detail,0022100527,474,1630612,RJ Nembhard Jr.,1610612739,Cleveland Cavaliers,3,1,16,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,216,157,1,0,20211230,WAS,CLE
9,Shot Chart Detail,0022100527,606,1630612,RJ Nembhard Jr.,1610612739,Cleveland Cavaliers,4,4,33,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-6,89,1,0,20211230,WAS,CLE
10,Shot Chart Detail,0022100527,652,1630612,RJ Nembhard Jr.,1610612739,Cleveland Cavaliers,4,1,36,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-33,8,1,0,20211230,WAS,CLE
11,Shot Chart Detail,0022100932,604,1630612,RJ Nembhard Jr.,1610612739,Cleveland Cavaliers,4,2,52,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,94,88,1,0,20220302,CLE,CHA
12,Shot Chart Detail,0022100932,639,1630612,RJ Nembhard Jr.,1610612739,Cleveland Cavaliers,4,1,9,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,206,135,1,0,20220302,CLE,CHA
13,Shot Chart Detail,0022100932,644,1630612,RJ Nembhard Jr.,1610612739,Cleveland Cavaliers,4,0,36,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,4,1,0,20220302,CLE,CHA
14,Shot Chart Detail,0022100932,646,1630612,RJ Nembhard Jr.,1610612739,Cleveland Cavaliers,4,0,35,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20220302,CLE,CHA
15,Shot Chart Detail,0022101095,611,1630612,RJ Nembhard Jr.,1610612739,Cleveland Cavaliers,4,1,20,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,20,183,1,0,20220324,TOR,CLE
16,Shot Chart Detail,0022101136,601,1630612,RJ Nembhard Jr.,1610612739,Cleveland Cavaliers,4,0,34,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,21,43,1,0,20220330,CLE,DAL
17,Shot Chart Detail,0022101218,587,1630612,RJ Nembhard Jr.,1610612739,Cleveland Cavaliers,4,8,12,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,70,31,1,0,20220410,CLE,MIL
