,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100006,109,203526,Raul Neto,1610612764,Washington Wizards,1,3,20,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,-53,74,1,1,20211020,TOR,WAS
1,Shot Chart Detail,0022100006,118,203526,Raul Neto,1610612764,Washington Wizards,1,2,36,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,-7,1,0,20211020,TOR,WAS
2,Shot Chart Detail,0022100006,155,203526,Raul Neto,1610612764,Washington Wizards,1,0,5,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-54,9,1,0,20211020,TOR,WAS
3,Shot Chart Detail,0022100006,302,203526,Raul Neto,1610612764,Washington Wizards,2,4,35,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,-6,1,1,20211020,TOR,WAS
4,Shot Chart Detail,0022100006,306,203526,Raul Neto,1610612764,Washington Wizards,2,4,3,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,228,-1,1,0,20211020,TOR,WAS
5,Shot Chart Detail,0022100006,311,203526,Raul Neto,1610612764,Washington Wizards,2,3,47,Made Shot,Running Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,-5,1,1,20211020,TOR,WAS
6,Shot Chart Detail,0022100006,628,203526,Raul Neto,1610612764,Washington Wizards,4,6,0,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,-1,1,1,20211020,TOR,WAS
7,Shot Chart Detail,0022100006,653,203526,Raul Neto,1610612764,Washington Wizards,4,4,34,Missed Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-18,18,1,0,20211020,TOR,WAS
8,Shot Chart Detail,0022100019,234,203526,Raul Neto,1610612764,Washington Wizards,2,7,49,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-6,34,1,1,20211022,WAS,IND
9,Shot Chart Detail,0022100019,282,203526,Raul Neto,1610612764,Washington Wizards,2,5,14,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,12,80,94,1,1,20211022,WAS,IND
10,Shot Chart Detail,0022100019,289,203526,Raul Neto,1610612764,Washington Wizards,2,4,39,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,37,102,1,1,20211022,WAS,IND
11,Shot Chart Detail,0022100019,299,203526,Raul Neto,1610612764,Washington Wizards,2,3,31,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,86,105,1,0,20211022,WAS,IND
12,Shot Chart Detail,0022100019,434,203526,Raul Neto,1610612764,Washington Wizards,3,5,22,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,175,214,1,1,20211022,WAS,IND
13,Shot Chart Detail,0022100019,436,203526,Raul Neto,1610612764,Washington Wizards,3,4,57,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,13,151,1,1,20211022,WAS,IND
14,Shot Chart Detail,0022100019,457,203526,Raul Neto,1610612764,Washington Wizards,3,3,53,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,-174,213,1,0,20211022,WAS,IND
15,Shot Chart Detail,0022100019,478,203526,Raul Neto,1610612764,Washington Wizards,3,2,56,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,9,1,1,20211022,WAS,IND
16,Shot Chart Detail,0022100019,481,203526,Raul Neto,1610612764,Washington Wizards,3,2,43,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,13,1,1,20211022,WAS,IND
17,Shot Chart Detail,0022100019,616,203526,Raul Neto,1610612764,Washington Wizards,4,3,19,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-50,14,1,0,20211022,WAS,IND
18,Shot Chart Detail,0022100019,675,203526,Raul Neto,1610612764,Washington Wizards,5,3,19,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,238,-6,1,0,20211022,WAS,IND
19,Shot Chart Detail,0022100044,84,203526,Raul Neto,1610612764,Washington Wizards,1,4,46,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,221,115,1,0,20211025,BKN,WAS
20,Shot Chart Detail,0022100044,104,203526,Raul Neto,1610612764,Washington Wizards,1,3,25,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-7,104,1,0,20211025,BKN,WAS
21,Shot Chart Detail,0022100044,433,203526,Raul Neto,1610612764,Washington Wizards,3,4,44,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,8,1,0,20211025,BKN,WAS
22,Shot Chart Detail,0022100044,440,203526,Raul Neto,1610612764,Washington Wizards,3,4,19,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,-75,55,1,0,20211025,BKN,WAS
23,Shot Chart Detail,0022100044,608,203526,Raul Neto,1610612764,Washington Wizards,4,6,18,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,10,1,1,20211025,BKN,WAS
24,Shot Chart Detail,0022100066,105,203526,Raul Neto,1610612764,Washington Wizards,1,3,37,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,-55,76,1,0,20211028,WAS,ATL
25,Shot Chart Detail,0022100066,220,203526,Raul Neto,1610612764,Washington Wizards,2,7,0,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-26,31,1,1,20211028,WAS,ATL
26,Shot Chart Detail,0022100066,224,203526,Raul Neto,1610612764,Washington Wizards,2,6,52,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,-186,196,1,0,20211028,WAS,ATL
27,Shot Chart Detail,0022100066,407,203526,Raul Neto,1610612764,Washington Wizards,3,5,6,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,97,111,1,1,20211028,WAS,ATL
28,Shot Chart Detail,0022100066,445,203526,Raul Neto,1610612764,Washington Wizards,3,1,31,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-158,211,1,0,20211028,WAS,ATL
29,Shot Chart Detail,0022100066,471,203526,Raul Neto,1610612764,Washington Wizards,3,0,0,Missed Shot,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,22,34,1,0,20211028,WAS,ATL
30,Shot Chart Detail,0022100066,614,203526,Raul Neto,1610612764,Washington Wizards,4,2,44,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-23,75,1,1,20211028,WAS,ATL
31,Shot Chart Detail,0022100078,110,203526,Raul Neto,1610612764,Washington Wizards,1,2,54,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-18,17,1,1,20211030,WAS,BOS
32,Shot Chart Detail,0022100078,267,203526,Raul Neto,1610612764,Washington Wizards,2,4,44,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,10,24,1,0,20211030,WAS,BOS
33,Shot Chart Detail,0022100078,279,203526,Raul Neto,1610612764,Washington Wizards,2,3,28,Made Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,13,24,1,1,20211030,WAS,BOS
34,Shot Chart Detail,0022100078,549,203526,Raul Neto,1610612764,Washington Wizards,4,9,42,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,183,207,1,0,20211030,WAS,BOS
35,Shot Chart Detail,0022100097,96,203526,Raul Neto,1610612764,Washington Wizards,1,4,22,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-9,246,1,0,20211101,ATL,WAS
36,Shot Chart Detail,0022100097,98,203526,Raul Neto,1610612764,Washington Wizards,1,4,18,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-70,241,1,0,20211101,ATL,WAS
37,Shot Chart Detail,0022100097,131,203526,Raul Neto,1610612764,Washington Wizards,1,2,14,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,13,59,1,0,20211101,ATL,WAS
38,Shot Chart Detail,0022100097,265,203526,Raul Neto,1610612764,Washington Wizards,2,5,27,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,3,1,1,20211101,ATL,WAS
39,Shot Chart Detail,0022100097,542,203526,Raul Neto,1610612764,Washington Wizards,4,6,35,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,0,59,1,1,20211101,ATL,WAS
40,Shot Chart Detail,0022100097,561,203526,Raul Neto,1610612764,Washington Wizards,4,4,59,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-232,8,1,0,20211101,ATL,WAS
41,Shot Chart Detail,0022100112,85,203526,Raul Neto,1610612764,Washington Wizards,1,4,36,Made Shot,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-33,32,1,1,20211103,WAS,TOR
42,Shot Chart Detail,0022100112,109,203526,Raul Neto,1610612764,Washington Wizards,1,3,7,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-165,189,1,1,20211103,WAS,TOR
43,Shot Chart Detail,0022100112,119,203526,Raul Neto,1610612764,Washington Wizards,1,2,19,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-5,86,1,1,20211103,WAS,TOR
44,Shot Chart Detail,0022100112,150,203526,Raul Neto,1610612764,Washington Wizards,1,0,13,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-49,86,1,0,20211103,WAS,TOR
45,Shot Chart Detail,0022100112,245,203526,Raul Neto,1610612764,Washington Wizards,2,5,29,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-48,16,1,1,20211103,WAS,TOR
46,Shot Chart Detail,0022100112,506,203526,Raul Neto,1610612764,Washington Wizards,4,9,9,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,189,184,1,1,20211103,WAS,TOR
47,Shot Chart Detail,0022100112,535,203526,Raul Neto,1610612764,Washington Wizards,4,7,27,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-176,197,1,0,20211103,WAS,TOR
48,Shot Chart Detail,0022100112,629,203526,Raul Neto,1610612764,Washington Wizards,4,0,37,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-161,198,1,0,20211103,WAS,TOR
49,Shot Chart Detail,0022100126,68,203526,Raul Neto,1610612764,Washington Wizards,1,6,16,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-18,124,1,1,20211105,WAS,MEM
50,Shot Chart Detail,0022100126,83,203526,Raul Neto,1610612764,Washington Wizards,1,5,25,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14,-67,124,1,1,20211105,WAS,MEM
51,Shot Chart Detail,0022100126,224,203526,Raul Neto,1610612764,Washington Wizards,2,5,55,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,28,-45,279,1,1,20211105,WAS,MEM
52,Shot Chart Detail,0022100126,242,203526,Raul Neto,1610612764,Washington Wizards,2,3,46,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-21,16,1,1,20211105,WAS,MEM
53,Shot Chart Detail,0022100126,274,203526,Raul Neto,1610612764,Washington Wizards,2,1,35,Missed Shot,Driving Reverse Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,53,20,1,0,20211105,WAS,MEM
54,Shot Chart Detail,0022100126,378,203526,Raul Neto,1610612764,Washington Wizards,3,6,12,Made Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,1,34,1,1,20211105,WAS,MEM
55,Shot Chart Detail,0022100126,417,203526,Raul Neto,1610612764,Washington Wizards,3,2,53,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-23,22,1,1,20211105,WAS,MEM
56,Shot Chart Detail,0022100126,613,203526,Raul Neto,1610612764,Washington Wizards,4,1,58,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,-126,44,1,1,20211105,WAS,MEM
57,Shot Chart Detail,0022100142,115,203526,Raul Neto,1610612764,Washington Wizards,1,2,41,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14,-55,137,1,0,20211107,WAS,MIL
58,Shot Chart Detail,0022100142,253,203526,Raul Neto,1610612764,Washington Wizards,2,5,43,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14,-66,134,1,1,20211107,WAS,MIL
59,Shot Chart Detail,0022100142,279,203526,Raul Neto,1610612764,Washington Wizards,2,3,33,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,33,14,1,1,20211107,WAS,MIL
60,Shot Chart Detail,0022100142,303,203526,Raul Neto,1610612764,Washington Wizards,2,1,41,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,147,230,1,0,20211107,WAS,MIL
61,Shot Chart Detail,0022100142,458,203526,Raul Neto,1610612764,Washington Wizards,3,1,49,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,12,-64,106,1,0,20211107,WAS,MIL
62,Shot Chart Detail,0022100142,553,203526,Raul Neto,1610612764,Washington Wizards,4,8,3,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,184,186,1,0,20211107,WAS,MIL
63,Shot Chart Detail,0022100142,560,203526,Raul Neto,1610612764,Washington Wizards,4,7,37,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-9,29,1,0,20211107,WAS,MIL
64,Shot Chart Detail,0022100142,572,203526,Raul Neto,1610612764,Washington Wizards,4,6,25,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-72,11,1,0,20211107,WAS,MIL
65,Shot Chart Detail,0022100158,117,203526,Raul Neto,1610612764,Washington Wizards,1,3,26,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,4,1,0,20211110,CLE,WAS
66,Shot Chart Detail,0022100158,135,203526,Raul Neto,1610612764,Washington Wizards,1,2,36,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,156,192,1,1,20211110,CLE,WAS
67,Shot Chart Detail,0022100158,140,203526,Raul Neto,1610612764,Washington Wizards,1,1,52,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-34,101,1,0,20211110,CLE,WAS
68,Shot Chart Detail,0022100158,144,203526,Raul Neto,1610612764,Washington Wizards,1,1,33,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,5,1,1,1,20211110,CLE,WAS
69,Shot Chart Detail,0022100158,275,203526,Raul Neto,1610612764,Washington Wizards,2,3,51,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-45,82,1,1,20211110,CLE,WAS
70,Shot Chart Detail,0022100187,87,203526,Raul Neto,1610612764,Washington Wizards,1,5,2,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,170,212,1,1,20211113,ORL,WAS
71,Shot Chart Detail,0022100187,106,203526,Raul Neto,1610612764,Washington Wizards,1,3,36,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-34,23,1,0,20211113,ORL,WAS
72,Shot Chart Detail,0022100187,122,203526,Raul Neto,1610612764,Washington Wizards,1,2,28,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,9,47,79,1,0,20211113,ORL,WAS
73,Shot Chart Detail,0022100187,455,203526,Raul Neto,1610612764,Washington Wizards,3,3,34,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,9,66,71,1,1,20211113,ORL,WAS
74,Shot Chart Detail,0022100187,464,203526,Raul Neto,1610612764,Washington Wizards,3,2,19,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,0,152,1,1,20211113,ORL,WAS
75,Shot Chart Detail,0022100187,573,203526,Raul Neto,1610612764,Washington Wizards,4,6,57,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-32,77,1,1,20211113,ORL,WAS
76,Shot Chart Detail,0022100201,77,203526,Raul Neto,1610612764,Washington Wizards,1,4,25,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,6,53,1,1,20211115,WAS,NOP
77,Shot Chart Detail,0022100201,106,203526,Raul Neto,1610612764,Washington Wizards,1,2,31,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-16,14,1,1,20211115,WAS,NOP
78,Shot Chart Detail,0022100201,115,203526,Raul Neto,1610612764,Washington Wizards,1,1,42,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,12,158,1,0,20211115,WAS,NOP
79,Shot Chart Detail,0022100201,198,203526,Raul Neto,1610612764,Washington Wizards,2,7,31,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,-103,185,1,1,20211115,WAS,NOP
80,Shot Chart Detail,0022100201,228,203526,Raul Neto,1610612764,Washington Wizards,2,5,58,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-36,104,1,0,20211115,WAS,NOP
81,Shot Chart Detail,0022100201,233,203526,Raul Neto,1610612764,Washington Wizards,2,5,20,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,27,111,1,0,20211115,WAS,NOP
82,Shot Chart Detail,0022100201,537,203526,Raul Neto,1610612764,Washington Wizards,4,7,20,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-23,16,1,1,20211115,WAS,NOP
83,Shot Chart Detail,0022100213,241,203526,Raul Neto,1610612764,Washington Wizards,2,6,15,Missed Shot,Floating Jump shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,17,16,1,0,20211117,CHA,WAS
84,Shot Chart Detail,0022100213,272,203526,Raul Neto,1610612764,Washington Wizards,2,3,40,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,157,198,1,0,20211117,CHA,WAS
85,Shot Chart Detail,0022100213,438,203526,Raul Neto,1610612764,Washington Wizards,3,3,34,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-51,251,1,0,20211117,CHA,WAS
86,Shot Chart Detail,0022100213,550,203526,Raul Neto,1610612764,Washington Wizards,4,6,52,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,10,-72,78,1,0,20211117,CHA,WAS
87,Shot Chart Detail,0022100213,569,203526,Raul Neto,1610612764,Washington Wizards,4,4,57,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,16,1,1,20211117,CHA,WAS
88,Shot Chart Detail,0022100213,576,203526,Raul Neto,1610612764,Washington Wizards,4,4,13,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-43,109,1,0,20211117,CHA,WAS
89,Shot Chart Detail,0022100225,215,203526,Raul Neto,1610612764,Washington Wizards,2,7,1,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,2,105,1,0,20211118,MIA,WAS
90,Shot Chart Detail,0022100225,223,203526,Raul Neto,1610612764,Washington Wizards,2,6,11,Missed Shot,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,10,53,88,1,0,20211118,MIA,WAS
91,Shot Chart Detail,0022100225,381,203526,Raul Neto,1610612764,Washington Wizards,3,4,32,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-156,216,1,0,20211118,MIA,WAS
92,Shot Chart Detail,0022100241,124,203526,Raul Neto,1610612764,Washington Wizards,1,1,44,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-16,59,1,0,20211120,WAS,MIA
93,Shot Chart Detail,0022100241,128,203526,Raul Neto,1610612764,Washington Wizards,1,1,32,Missed Shot,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-38,16,1,0,20211120,WAS,MIA
94,Shot Chart Detail,0022100241,202,203526,Raul Neto,1610612764,Washington Wizards,2,7,44,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-36,68,1,0,20211120,WAS,MIA
95,Shot Chart Detail,0022100241,390,203526,Raul Neto,1610612764,Washington Wizards,3,6,26,Made Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,-103,10,1,1,20211120,WAS,MIA
96,Shot Chart Detail,0022100241,429,203526,Raul Neto,1610612764,Washington Wizards,3,3,45,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,9,1,1,20211120,WAS,MIA
97,Shot Chart Detail,0022100254,92,203526,Raul Neto,1610612764,Washington Wizards,1,4,59,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-13,57,1,1,20211122,WAS,CHA
98,Shot Chart Detail,0022100254,98,203526,Raul Neto,1610612764,Washington Wizards,1,4,36,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-17,10,1,1,20211122,WAS,CHA
99,Shot Chart Detail,0022100254,116,203526,Raul Neto,1610612764,Washington Wizards,1,3,0,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-170,194,1,0,20211122,WAS,CHA
100,Shot Chart Detail,0022100254,302,203526,Raul Neto,1610612764,Washington Wizards,2,3,35,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-208,142,1,0,20211122,WAS,CHA
101,Shot Chart Detail,0022100254,475,203526,Raul Neto,1610612764,Washington Wizards,3,3,53,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-25,34,1,0,20211122,WAS,CHA
