,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100030,652,203585,Rodney McGruder,1610612765,Detroit Pistons,4,1,48,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-43,62,1,0,20211023,CHI,DET
1,Shot Chart Detail,0022100043,632,203585,Rodney McGruder,1610612765,Detroit Pistons,4,0,52,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-154,195,1,1,20211025,ATL,DET
2,Shot Chart Detail,0022100043,637,203585,Rodney McGruder,1610612765,Detroit Pistons,4,0,21,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-229,64,1,0,20211025,ATL,DET
3,Shot Chart Detail,0022100092,561,203585,Rodney McGruder,1610612765,Detroit Pistons,4,2,32,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,11,1,0,20211031,BKN,DET
4,Shot Chart Detail,0022100103,725,203585,Rodney McGruder,1610612765,Detroit Pistons,4,0,5,Missed Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,158,221,1,0,20211102,DET,MIL
5,Shot Chart Detail,0022100176,553,203585,Rodney McGruder,1610612765,Detroit Pistons,4,4,46,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,-237,53,1,1,20211112,CLE,DET
6,Shot Chart Detail,0022100176,558,203585,Rodney McGruder,1610612765,Detroit Pistons,4,4,14,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,172,197,1,0,20211112,CLE,DET
7,Shot Chart Detail,0022100176,582,203585,Rodney McGruder,1610612765,Detroit Pistons,4,3,11,Made Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,93,100,1,1,20211112,CLE,DET
8,Shot Chart Detail,0022100176,584,203585,Rodney McGruder,1610612765,Detroit Pistons,4,2,47,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-48,47,1,0,20211112,CLE,DET
9,Shot Chart Detail,0022100200,236,203585,Rodney McGruder,1610612765,Detroit Pistons,2,6,26,Made Shot,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,32,27,1,1,20211115,DET,SAC
