,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100005,113,1629641,Romeo Langford,1610612738,Boston Celtics,1,2,39,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-206,154,1,1,20211020,NYK,BOS
1,Shot Chart Detail,0022100005,170,1629641,Romeo Langford,1610612738,Boston Celtics,2,11,35,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-2,68,1,1,20211020,NYK,BOS
2,Shot Chart Detail,0022100005,194,1629641,Romeo Langford,1610612738,Boston Celtics,2,9,11,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,238,91,1,1,20211020,NYK,BOS
3,Shot Chart Detail,0022100005,440,1629641,Romeo Langford,1610612738,Boston Celtics,3,4,33,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,204,-3,1,1,20211020,NYK,BOS
4,Shot Chart Detail,0022100005,443,1629641,Romeo Langford,1610612738,Boston Celtics,3,3,50,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-223,40,1,0,20211020,NYK,BOS
5,Shot Chart Detail,0022100005,471,1629641,Romeo Langford,1610612738,Boston Celtics,3,2,3,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,3,1,0,20211020,NYK,BOS
6,Shot Chart Detail,0022100020,96,1629641,Romeo Langford,1610612738,Boston Celtics,1,4,34,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-232,88,1,0,20211022,BOS,TOR
7,Shot Chart Detail,0022100020,253,1629641,Romeo Langford,1610612738,Boston Celtics,2,6,17,Missed Shot,Putback Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-15,50,1,0,20211022,BOS,TOR
8,Shot Chart Detail,0022100020,256,1629641,Romeo Langford,1610612738,Boston Celtics,2,5,53,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,235,13,1,1,20211022,BOS,TOR
9,Shot Chart Detail,0022100020,473,1629641,Romeo Langford,1610612738,Boston Celtics,3,1,14,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,13,16,1,0,20211022,BOS,TOR
10,Shot Chart Detail,0022100020,606,1629641,Romeo Langford,1610612738,Boston Celtics,4,4,18,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,232,-7,1,1,20211022,BOS,TOR
11,Shot Chart Detail,0022100078,115,1629641,Romeo Langford,1610612738,Boston Celtics,1,2,9,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,234,-9,1,0,20211030,WAS,BOS
12,Shot Chart Detail,0022100078,269,1629641,Romeo Langford,1610612738,Boston Celtics,2,4,38,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,233,-1,1,0,20211030,WAS,BOS
13,Shot Chart Detail,0022100078,273,1629641,Romeo Langford,1610612738,Boston Celtics,2,4,15,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,17,20,1,1,20211030,WAS,BOS
14,Shot Chart Detail,0022100098,115,1629641,Romeo Langford,1610612738,Boston Celtics,1,2,35,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,151,17,1,1,20211101,BOS,CHI
15,Shot Chart Detail,0022100098,165,1629641,Romeo Langford,1610612738,Boston Celtics,2,11,23,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-2,25,1,0,20211101,BOS,CHI
16,Shot Chart Detail,0022100098,453,1629641,Romeo Langford,1610612738,Boston Celtics,3,1,35,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,16,1,0,20211101,BOS,CHI
17,Shot Chart Detail,0022100098,662,1629641,Romeo Langford,1610612738,Boston Celtics,4,0,54,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,25,36,1,1,20211101,BOS,CHI
18,Shot Chart Detail,0022100110,477,1629641,Romeo Langford,1610612738,Boston Celtics,4,11,6,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-223,71,1,1,20211103,ORL,BOS
19,Shot Chart Detail,0022100110,644,1629641,Romeo Langford,1610612738,Boston Celtics,4,1,15,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,29,99,277,1,0,20211103,ORL,BOS
20,Shot Chart Detail,0022100121,179,1629641,Romeo Langford,1610612738,Boston Celtics,2,9,6,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-238,22,1,1,20211104,MIA,BOS
