,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100229,146,200752,Rudy Gay,1610612762,Utah Jazz,1,0,50,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-233,4,1,1,20211118,UTA,TOR
1,Shot Chart Detail,0022100229,150,200752,Rudy Gay,1610612762,Utah Jazz,1,0,13,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,-230,74,1,0,20211118,UTA,TOR
2,Shot Chart Detail,0022100229,161,200752,Rudy Gay,1610612762,Utah Jazz,2,11,27,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,135,220,1,1,20211118,UTA,TOR
3,Shot Chart Detail,0022100229,175,200752,Rudy Gay,1610612762,Utah Jazz,2,9,50,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-71,241,1,1,20211118,UTA,TOR
4,Shot Chart Detail,0022100229,433,200752,Rudy Gay,1610612762,Utah Jazz,3,1,17,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-29,5,1,1,20211118,UTA,TOR
5,Shot Chart Detail,0022100229,478,200752,Rudy Gay,1610612762,Utah Jazz,4,10,17,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,131,225,1,1,20211118,UTA,TOR
6,Shot Chart Detail,0022100229,510,200752,Rudy Gay,1610612762,Utah Jazz,4,7,54,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,31,-134,287,1,1,20211118,UTA,TOR
7,Shot Chart Detail,0022100229,536,200752,Rudy Gay,1610612762,Utah Jazz,4,5,56,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-4,26,1,1,20211118,UTA,TOR
8,Shot Chart Detail,0022100247,149,200752,Rudy Gay,1610612762,Utah Jazz,2,10,55,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-200,162,1,0,20211120,SAC,UTA
9,Shot Chart Detail,0022100247,168,200752,Rudy Gay,1610612762,Utah Jazz,2,9,46,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,28,187,1,0,20211120,SAC,UTA
10,Shot Chart Detail,0022100247,502,200752,Rudy Gay,1610612762,Utah Jazz,4,9,33,Made Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-110,227,1,1,20211120,SAC,UTA
11,Shot Chart Detail,0022100247,516,200752,Rudy Gay,1610612762,Utah Jazz,4,8,44,Missed Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,168,189,1,0,20211120,SAC,UTA
12,Shot Chart Detail,0022100261,150,200752,Rudy Gay,1610612762,Utah Jazz,1,2,13,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,-194,215,1,0,20211122,UTA,MEM
13,Shot Chart Detail,0022100261,155,200752,Rudy Gay,1610612762,Utah Jazz,1,1,54,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-27,6,1,1,20211122,UTA,MEM
14,Shot Chart Detail,0022100261,183,200752,Rudy Gay,1610612762,Utah Jazz,2,11,13,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,9,248,1,0,20211122,UTA,MEM
15,Shot Chart Detail,0022100261,237,200752,Rudy Gay,1610612762,Utah Jazz,2,7,34,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-238,1,1,0,20211122,UTA,MEM
16,Shot Chart Detail,0022100261,456,200752,Rudy Gay,1610612762,Utah Jazz,3,2,53,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,40,97,1,0,20211122,UTA,MEM
17,Shot Chart Detail,0022100261,508,200752,Rudy Gay,1610612762,Utah Jazz,4,10,54,Missed Shot,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-2,118,1,0,20211122,UTA,MEM
18,Shot Chart Detail,0022100276,130,200752,Rudy Gay,1610612762,Utah Jazz,1,2,29,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,62,-5,1,0,20211124,OKC,UTA
19,Shot Chart Detail,0022100276,138,200752,Rudy Gay,1610612762,Utah Jazz,1,1,58,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,26,187,1,1,20211124,OKC,UTA
20,Shot Chart Detail,0022100276,148,200752,Rudy Gay,1610612762,Utah Jazz,1,1,15,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,9,1,1,20211124,OKC,UTA
21,Shot Chart Detail,0022100276,169,200752,Rudy Gay,1610612762,Utah Jazz,2,10,59,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-64,145,1,0,20211124,OKC,UTA
22,Shot Chart Detail,0022100276,187,200752,Rudy Gay,1610612762,Utah Jazz,2,9,31,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,232,-10,1,1,20211124,OKC,UTA
23,Shot Chart Detail,0022100276,432,200752,Rudy Gay,1610612762,Utah Jazz,3,3,32,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,188,176,1,0,20211124,OKC,UTA
24,Shot Chart Detail,0022100276,488,200752,Rudy Gay,1610612762,Utah Jazz,4,11,13,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-195,142,1,1,20211124,OKC,UTA
25,Shot Chart Detail,0022100276,511,200752,Rudy Gay,1610612762,Utah Jazz,4,9,11,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,229,-22,1,1,20211124,OKC,UTA
26,Shot Chart Detail,0022100289,135,200752,Rudy Gay,1610612762,Utah Jazz,1,1,14,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,26,126,1,1,20211126,UTA,NOP
27,Shot Chart Detail,0022100289,193,200752,Rudy Gay,1610612762,Utah Jazz,2,8,12,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211126,UTA,NOP
28,Shot Chart Detail,0022100289,464,200752,Rudy Gay,1610612762,Utah Jazz,3,1,23,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,25,237,85,1,0,20211126,UTA,NOP
29,Shot Chart Detail,0022100289,496,200752,Rudy Gay,1610612762,Utah Jazz,4,10,44,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,34,73,1,1,20211126,UTA,NOP
30,Shot Chart Detail,0022100289,514,200752,Rudy Gay,1610612762,Utah Jazz,4,9,13,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-222,52,1,1,20211126,UTA,NOP
31,Shot Chart Detail,0022100299,65,200752,Rudy Gay,1610612762,Utah Jazz,1,6,16,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,9,274,1,1,20211127,UTA,NOP
32,Shot Chart Detail,0022100299,83,200752,Rudy Gay,1610612762,Utah Jazz,1,4,46,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-9,21,1,0,20211127,UTA,NOP
33,Shot Chart Detail,0022100299,207,200752,Rudy Gay,1610612762,Utah Jazz,2,8,30,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-10,252,1,1,20211127,UTA,NOP
34,Shot Chart Detail,0022100299,248,200752,Rudy Gay,1610612762,Utah Jazz,2,5,39,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-120,224,1,1,20211127,UTA,NOP
35,Shot Chart Detail,0022100299,265,200752,Rudy Gay,1610612762,Utah Jazz,2,4,12,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,107,127,1,0,20211127,UTA,NOP
36,Shot Chart Detail,0022100299,480,200752,Rudy Gay,1610612762,Utah Jazz,3,0,55,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,233,13,1,1,20211127,UTA,NOP
37,Shot Chart Detail,0022100299,537,200752,Rudy Gay,1610612762,Utah Jazz,4,8,31,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,-173,47,1,0,20211127,UTA,NOP
38,Shot Chart Detail,0022100312,74,200752,Rudy Gay,1610612762,Utah Jazz,1,5,45,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-230,107,1,0,20211129,UTA,POR
39,Shot Chart Detail,0022100312,80,200752,Rudy Gay,1610612762,Utah Jazz,1,5,16,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-48,116,1,0,20211129,UTA,POR
40,Shot Chart Detail,0022100312,107,200752,Rudy Gay,1610612762,Utah Jazz,1,3,53,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,13,59,1,1,20211129,UTA,POR
41,Shot Chart Detail,0022100312,161,200752,Rudy Gay,1610612762,Utah Jazz,2,11,45,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-233,11,1,0,20211129,UTA,POR
42,Shot Chart Detail,0022100312,170,200752,Rudy Gay,1610612762,Utah Jazz,2,10,40,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-225,23,1,0,20211129,UTA,POR
43,Shot Chart Detail,0022100312,205,200752,Rudy Gay,1610612762,Utah Jazz,2,7,58,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,123,233,1,0,20211129,UTA,POR
44,Shot Chart Detail,0022100312,208,200752,Rudy Gay,1610612762,Utah Jazz,2,7,29,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,234,22,1,1,20211129,UTA,POR
45,Shot Chart Detail,0022100312,393,200752,Rudy Gay,1610612762,Utah Jazz,3,5,19,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,185,183,1,1,20211129,UTA,POR
