,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100011,13,203497,Rudy Gobert,1610612762,Utah Jazz,1,10,47,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,23,6,1,1,20211020,UTA,OKC
1,Shot Chart Detail,0022100011,26,203497,Rudy Gobert,1610612762,Utah Jazz,1,9,21,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,2,21,1,1,20211020,UTA,OKC
2,Shot Chart Detail,0022100011,264,203497,Rudy Gobert,1610612762,Utah Jazz,1,1,53,Missed Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,31,7,1,0,20211020,UTA,OKC
3,Shot Chart Detail,0022100011,141,203497,Rudy Gobert,1610612762,Utah Jazz,1,1,30,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-13,23,1,1,20211020,UTA,OKC
4,Shot Chart Detail,0022100011,147,203497,Rudy Gobert,1610612762,Utah Jazz,1,0,55,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,16,1,1,20211020,UTA,OKC
5,Shot Chart Detail,0022100011,191,203497,Rudy Gobert,1610612762,Utah Jazz,2,9,19,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,16,7,1,1,20211020,UTA,OKC
6,Shot Chart Detail,0022100011,337,203497,Rudy Gobert,1610612762,Utah Jazz,3,11,4,Missed Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-17,10,1,0,20211020,UTA,OKC
7,Shot Chart Detail,0022100011,520,203497,Rudy Gobert,1610612762,Utah Jazz,4,9,12,Missed Shot,Cutting Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-26,34,1,0,20211020,UTA,OKC
8,Shot Chart Detail,0022100011,528,203497,Rudy Gobert,1610612762,Utah Jazz,4,8,13,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,9,1,1,20211020,UTA,OKC
9,Shot Chart Detail,0022100026,28,203497,Rudy Gobert,1610612762,Utah Jazz,1,10,3,Missed Shot,Turnaround Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,26,11,1,0,20211022,SAC,UTA
