,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100001,206,1630572,Sandro Mamukelashvili,1610612749,Milwaukee Bucks,2,9,29,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,8,1,0,20211019,MIL,BKN
1,Shot Chart Detail,0022100015,104,1630572,Sandro Mamukelashvili,1610612749,Milwaukee Bucks,1,5,2,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,-238,32,1,0,20211021,MIA,MIL
2,Shot Chart Detail,0022100015,160,1630572,Sandro Mamukelashvili,1610612749,Milwaukee Bucks,1,1,28,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20211021,MIA,MIL
3,Shot Chart Detail,0022100015,162,1630572,Sandro Mamukelashvili,1610612749,Milwaukee Bucks,1,1,27,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211021,MIA,MIL
4,Shot Chart Detail,0022100015,516,1630572,Sandro Mamukelashvili,1610612749,Milwaukee Bucks,3,3,40,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-34,252,1,1,20211021,MIA,MIL
5,Shot Chart Detail,0022100015,536,1630572,Sandro Mamukelashvili,1610612749,Milwaukee Bucks,3,2,26,Missed Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,76,33,1,0,20211021,MIA,MIL
6,Shot Chart Detail,0022100015,601,1630572,Sandro Mamukelashvili,1610612749,Milwaukee Bucks,4,9,47,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-17,21,1,0,20211021,MIA,MIL
7,Shot Chart Detail,0022100015,605,1630572,Sandro Mamukelashvili,1610612749,Milwaukee Bucks,4,9,30,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,142,238,1,1,20211021,MIA,MIL
8,Shot Chart Detail,0022100015,650,1630572,Sandro Mamukelashvili,1610612749,Milwaukee Bucks,4,5,31,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-22,265,1,0,20211021,MIA,MIL
9,Shot Chart Detail,0022100015,708,1630572,Sandro Mamukelashvili,1610612749,Milwaukee Bucks,4,1,26,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,21,1,1,20211021,MIA,MIL
