,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100063,648,1630583,Santi Aldama,1610612763,Memphis Grizzlies,4,5,16,Made Shot,Hook Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-11,84,1,1,20211027,POR,MEM
1,Shot Chart Detail,0022100063,676,1630583,Santi Aldama,1610612763,Memphis Grizzlies,4,3,57,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,7,260,1,0,20211027,POR,MEM
2,Shot Chart Detail,0022100063,681,1630583,Santi Aldama,1610612763,Memphis Grizzlies,4,3,44,Made Shot,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211027,POR,MEM
3,Shot Chart Detail,0022100063,683,1630583,Santi Aldama,1610612763,Memphis Grizzlies,4,3,12,Missed Shot,Floating Jump shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,5,37,1,0,20211027,POR,MEM
4,Shot Chart Detail,0022100063,729,1630583,Santi Aldama,1610612763,Memphis Grizzlies,4,2,42,Missed Shot,Tip Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,38,46,1,0,20211027,POR,MEM
5,Shot Chart Detail,0022100063,723,1630583,Santi Aldama,1610612763,Memphis Grizzlies,4,0,42,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-134,220,1,1,20211027,POR,MEM
6,Shot Chart Detail,0022100084,602,1630583,Santi Aldama,1610612763,Memphis Grizzlies,4,5,8,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,194,170,1,0,20211030,MEM,MIA
7,Shot Chart Detail,0022100084,648,1630583,Santi Aldama,1610612763,Memphis Grizzlies,4,1,53,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,-110,251,1,0,20211030,MEM,MIA
8,Shot Chart Detail,0022100126,511,1630583,Santi Aldama,1610612763,Memphis Grizzlies,4,9,42,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,38,131,1,0,20211105,WAS,MEM
9,Shot Chart Detail,0022100126,542,1630583,Santi Aldama,1610612763,Memphis Grizzlies,4,6,43,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,208,164,1,0,20211105,WAS,MEM
10,Shot Chart Detail,0022100126,555,1630583,Santi Aldama,1610612763,Memphis Grizzlies,4,5,58,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-64,14,1,1,20211105,WAS,MEM
11,Shot Chart Detail,0022100126,590,1630583,Santi Aldama,1610612763,Memphis Grizzlies,4,3,45,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,130,236,1,0,20211105,WAS,MEM
