,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100006,77,1630567,Scottie Barnes,1610612761,Toronto Raptors,1,5,10,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,138,75,1,0,20211020,TOR,WAS
1,Shot Chart Detail,0022100006,86,1630567,Scottie Barnes,1610612761,Toronto Raptors,1,4,30,Made Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,5,52,1,1,20211020,TOR,WAS
2,Shot Chart Detail,0022100006,222,1630567,Scottie Barnes,1610612761,Toronto Raptors,2,8,58,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,44,76,1,0,20211020,TOR,WAS
3,Shot Chart Detail,0022100006,235,1630567,Scottie Barnes,1610612761,Toronto Raptors,2,8,21,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,5,1,1,20211020,TOR,WAS
4,Shot Chart Detail,0022100006,282,1630567,Scottie Barnes,1610612761,Toronto Raptors,2,5,50,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,239,8,1,0,20211020,TOR,WAS
5,Shot Chart Detail,0022100006,404,1630567,Scottie Barnes,1610612761,Toronto Raptors,3,9,28,Missed Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,-11,1,0,20211020,TOR,WAS
6,Shot Chart Detail,0022100006,430,1630567,Scottie Barnes,1610612761,Toronto Raptors,3,7,16,Made Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,2,24,1,1,20211020,TOR,WAS
7,Shot Chart Detail,0022100006,465,1630567,Scottie Barnes,1610612761,Toronto Raptors,3,5,9,Made Shot,Running Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,-7,1,1,20211020,TOR,WAS
8,Shot Chart Detail,0022100006,607,1630567,Scottie Barnes,1610612761,Toronto Raptors,4,8,9,Missed Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,-2,1,0,20211020,TOR,WAS
9,Shot Chart Detail,0022100006,624,1630567,Scottie Barnes,1610612761,Toronto Raptors,4,6,56,Missed Shot,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-59,10,1,0,20211020,TOR,WAS
10,Shot Chart Detail,0022100006,630,1630567,Scottie Barnes,1610612761,Toronto Raptors,4,5,50,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-25,22,1,0,20211020,TOR,WAS
11,Shot Chart Detail,0022100006,633,1630567,Scottie Barnes,1610612761,Toronto Raptors,4,5,46,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,-2,1,0,20211020,TOR,WAS
12,Shot Chart Detail,0022100006,680,1630567,Scottie Barnes,1610612761,Toronto Raptors,4,2,30,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,5,-6,1,1,20211020,TOR,WAS
13,Shot Chart Detail,0022100020,31,1630567,Scottie Barnes,1610612761,Toronto Raptors,1,10,6,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,26,11,1,0,20211022,BOS,TOR
14,Shot Chart Detail,0022100020,51,1630567,Scottie Barnes,1610612761,Toronto Raptors,1,8,35,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-141,227,1,1,20211022,BOS,TOR
15,Shot Chart Detail,0022100020,64,1630567,Scottie Barnes,1610612761,Toronto Raptors,1,7,17,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-33,114,1,0,20211022,BOS,TOR
16,Shot Chart Detail,0022100020,78,1630567,Scottie Barnes,1610612761,Toronto Raptors,1,6,7,Made Shot,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-18,3,1,1,20211022,BOS,TOR
17,Shot Chart Detail,0022100020,92,1630567,Scottie Barnes,1610612761,Toronto Raptors,1,5,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-143,218,1,0,20211022,BOS,TOR
18,Shot Chart Detail,0022100020,113,1630567,Scottie Barnes,1610612761,Toronto Raptors,1,3,9,Made Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-49,41,1,1,20211022,BOS,TOR
19,Shot Chart Detail,0022100020,214,1630567,Scottie Barnes,1610612761,Toronto Raptors,2,9,13,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,94,110,1,1,20211022,BOS,TOR
20,Shot Chart Detail,0022100020,269,1630567,Scottie Barnes,1610612761,Toronto Raptors,2,4,38,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,4,1,1,20211022,BOS,TOR
21,Shot Chart Detail,0022100020,316,1630567,Scottie Barnes,1610612761,Toronto Raptors,2,2,24,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,14,-79,120,1,1,20211022,BOS,TOR
22,Shot Chart Detail,0022100020,371,1630567,Scottie Barnes,1610612761,Toronto Raptors,3,9,13,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,-75,186,1,1,20211022,BOS,TOR
23,Shot Chart Detail,0022100020,406,1630567,Scottie Barnes,1610612761,Toronto Raptors,3,6,54,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,72,143,1,0,20211022,BOS,TOR
24,Shot Chart Detail,0022100020,463,1630567,Scottie Barnes,1610612761,Toronto Raptors,3,1,38,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,5,31,1,1,20211022,BOS,TOR
25,Shot Chart Detail,0022100020,478,1630567,Scottie Barnes,1610612761,Toronto Raptors,3,0,51,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211022,BOS,TOR
26,Shot Chart Detail,0022100020,604,1630567,Scottie Barnes,1610612761,Toronto Raptors,4,4,27,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-4,28,1,1,20211022,BOS,TOR
27,Shot Chart Detail,0022100020,619,1630567,Scottie Barnes,1610612761,Toronto Raptors,4,3,37,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,10,59,92,1,0,20211022,BOS,TOR
28,Shot Chart Detail,0022100020,628,1630567,Scottie Barnes,1610612761,Toronto Raptors,4,3,8,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-34,29,1,0,20211022,BOS,TOR
