,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100009,50,203552,Seth Curry,1610612755,Philadelphia 76ers,1,6,49,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-129,231,1,1,20211020,NOP,PHI
1,Shot Chart Detail,0022100009,233,203552,Seth Curry,1610612755,Philadelphia 76ers,2,6,30,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,23,-200,118,1,1,20211020,NOP,PHI
2,Shot Chart Detail,0022100009,261,203552,Seth Curry,1610612755,Philadelphia 76ers,2,4,42,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,82,242,1,0,20211020,NOP,PHI
3,Shot Chart Detail,0022100009,367,203552,Seth Curry,1610612755,Philadelphia 76ers,3,7,2,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,38,6,1,1,20211020,NOP,PHI
4,Shot Chart Detail,0022100009,426,203552,Seth Curry,1610612755,Philadelphia 76ers,3,1,35,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,196,169,1,1,20211020,NOP,PHI
5,Shot Chart Detail,0022100021,7,203552,Seth Curry,1610612755,Philadelphia 76ers,1,11,48,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-129,220,1,1,20211022,PHI,BKN
6,Shot Chart Detail,0022100021,43,203552,Seth Curry,1610612755,Philadelphia 76ers,1,8,36,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,-4,1,1,20211022,PHI,BKN
7,Shot Chart Detail,0022100021,61,203552,Seth Curry,1610612755,Philadelphia 76ers,1,6,21,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,-42,198,1,0,20211022,PHI,BKN
8,Shot Chart Detail,0022100021,97,203552,Seth Curry,1610612755,Philadelphia 76ers,1,3,41,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,45,96,1,1,20211022,PHI,BKN
9,Shot Chart Detail,0022100021,101,203552,Seth Curry,1610612755,Philadelphia 76ers,1,3,16,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,164,215,1,1,20211022,PHI,BKN
10,Shot Chart Detail,0022100021,221,203552,Seth Curry,1610612755,Philadelphia 76ers,2,7,31,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,36,-7,1,1,20211022,PHI,BKN
11,Shot Chart Detail,0022100021,243,203552,Seth Curry,1610612755,Philadelphia 76ers,2,6,4,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,126,79,1,1,20211022,PHI,BKN
12,Shot Chart Detail,0022100021,246,203552,Seth Curry,1610612755,Philadelphia 76ers,2,5,26,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,-119,-13,1,1,20211022,PHI,BKN
13,Shot Chart Detail,0022100021,302,203552,Seth Curry,1610612755,Philadelphia 76ers,2,2,25,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,-7,208,1,0,20211022,PHI,BKN
14,Shot Chart Detail,0022100021,367,203552,Seth Curry,1610612755,Philadelphia 76ers,3,9,3,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,23,71,225,1,0,20211022,PHI,BKN
15,Shot Chart Detail,0022100021,432,203552,Seth Curry,1610612755,Philadelphia 76ers,3,3,19,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-224,139,1,1,20211022,PHI,BKN
16,Shot Chart Detail,0022100021,453,203552,Seth Curry,1610612755,Philadelphia 76ers,3,1,30,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-162,199,1,1,20211022,PHI,BKN
17,Shot Chart Detail,0022100038,27,203552,Seth Curry,1610612755,Philadelphia 76ers,1,10,10,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-222,62,1,1,20211024,OKC,PHI
18,Shot Chart Detail,0022100038,34,203552,Seth Curry,1610612755,Philadelphia 76ers,1,9,0,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-27,15,1,1,20211024,OKC,PHI
19,Shot Chart Detail,0022100038,55,203552,Seth Curry,1610612755,Philadelphia 76ers,1,7,36,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,1,63,1,1,20211024,OKC,PHI
