,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100491,136,1626169,Stanley Johnson,1610612747,Los Angeles Lakers,1,3,33,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,13,1,1,20211225,LAL,BKN
1,Shot Chart Detail,0022100491,164,1626169,Stanley Johnson,1610612747,Los Angeles Lakers,1,1,48,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-142,209,1,1,20211225,LAL,BKN
2,Shot Chart Detail,0022100491,247,1626169,Stanley Johnson,1610612747,Los Angeles Lakers,2,8,14,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,228,13,1,0,20211225,LAL,BKN
3,Shot Chart Detail,0022100491,515,1626169,Stanley Johnson,1610612747,Los Angeles Lakers,3,4,22,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-224,27,1,0,20211225,LAL,BKN
4,Shot Chart Detail,0022100511,37,1626169,Stanley Johnson,1610612747,Los Angeles Lakers,1,8,38,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,-238,56,1,0,20211228,HOU,LAL
5,Shot Chart Detail,0022100511,72,1626169,Stanley Johnson,1610612747,Los Angeles Lakers,1,5,45,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,230,75,1,0,20211228,HOU,LAL
6,Shot Chart Detail,0022100511,189,1626169,Stanley Johnson,1610612747,Los Angeles Lakers,2,10,11,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,11,1,1,20211228,HOU,LAL
7,Shot Chart Detail,0022100511,264,1626169,Stanley Johnson,1610612747,Los Angeles Lakers,2,5,25,Missed Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-47,88,1,0,20211228,HOU,LAL
8,Shot Chart Detail,0022100511,363,1626169,Stanley Johnson,1610612747,Los Angeles Lakers,3,9,28,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-233,16,1,0,20211228,HOU,LAL
9,Shot Chart Detail,0022100511,460,1626169,Stanley Johnson,1610612747,Los Angeles Lakers,3,3,3,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-39,258,1,0,20211228,HOU,LAL
10,Shot Chart Detail,0022100511,507,1626169,Stanley Johnson,1610612747,Los Angeles Lakers,3,0,29,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,16,1,1,20211228,HOU,LAL
11,Shot Chart Detail,0022100511,553,1626169,Stanley Johnson,1610612747,Los Angeles Lakers,4,8,12,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,2,1,1,20211228,HOU,LAL
12,Shot Chart Detail,0022100520,139,1626169,Stanley Johnson,1610612747,Los Angeles Lakers,1,1,39,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,76,252,1,0,20211229,MEM,LAL
