,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100006,191,1629004,Svi Mykhailiuk,1610612761,Toronto Raptors,2,10,33,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,230,10,1,0,20211020,TOR,WAS
1,Shot Chart Detail,0022100006,208,1629004,Svi Mykhailiuk,1610612761,Toronto Raptors,2,9,25,Made Shot,Running Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,6,1,1,20211020,TOR,WAS
2,Shot Chart Detail,0022100006,318,1629004,Svi Mykhailiuk,1610612761,Toronto Raptors,2,3,28,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-213,146,1,0,20211020,TOR,WAS
3,Shot Chart Detail,0022100006,334,1629004,Svi Mykhailiuk,1610612761,Toronto Raptors,2,2,20,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-200,169,1,0,20211020,TOR,WAS
4,Shot Chart Detail,0022100006,537,1629004,Svi Mykhailiuk,1610612761,Toronto Raptors,3,0,40,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,16,8,1,0,20211020,TOR,WAS
5,Shot Chart Detail,0022100020,196,1629004,Svi Mykhailiuk,1610612761,Toronto Raptors,2,10,13,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-65,257,1,0,20211022,BOS,TOR
6,Shot Chart Detail,0022100020,222,1629004,Svi Mykhailiuk,1610612761,Toronto Raptors,2,8,15,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,119,10,1,0,20211022,BOS,TOR
7,Shot Chart Detail,0022100020,512,1629004,Svi Mykhailiuk,1610612761,Toronto Raptors,4,11,15,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-163,205,1,0,20211022,BOS,TOR
8,Shot Chart Detail,0022100020,653,1629004,Svi Mykhailiuk,1610612761,Toronto Raptors,4,1,52,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-205,164,1,1,20211022,BOS,TOR
9,Shot Chart Detail,0022100020,656,1629004,Svi Mykhailiuk,1610612761,Toronto Raptors,4,1,29,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,123,253,1,1,20211022,BOS,TOR
10,Shot Chart Detail,0022100029,131,1629004,Svi Mykhailiuk,1610612761,Toronto Raptors,1,1,43,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,237,44,1,1,20211023,TOR,DAL
11,Shot Chart Detail,0022100029,137,1629004,Svi Mykhailiuk,1610612761,Toronto Raptors,1,1,11,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,105,265,1,0,20211023,TOR,DAL
12,Shot Chart Detail,0022100029,457,1629004,Svi Mykhailiuk,1610612761,Toronto Raptors,3,3,43,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-238,-6,1,1,20211023,TOR,DAL
13,Shot Chart Detail,0022100029,473,1629004,Svi Mykhailiuk,1610612761,Toronto Raptors,3,2,33,Missed Shot,Floating Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,206,141,1,0,20211023,TOR,DAL
14,Shot Chart Detail,0022100029,526,1629004,Svi Mykhailiuk,1610612761,Toronto Raptors,4,11,17,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-59,250,1,0,20211023,TOR,DAL
15,Shot Chart Detail,0022100046,173,1629004,Svi Mykhailiuk,1610612761,Toronto Raptors,2,9,54,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-62,247,1,1,20211025,TOR,CHI
16,Shot Chart Detail,0022100046,419,1629004,Svi Mykhailiuk,1610612761,Toronto Raptors,3,3,2,Made Shot,Putback Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-2,58,1,1,20211025,TOR,CHI
17,Shot Chart Detail,0022100058,200,1629004,Svi Mykhailiuk,1610612761,Toronto Raptors,2,10,43,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,222,32,1,0,20211027,TOR,IND
