,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100003,134,204456,T.J. McConnell,1610612754,Indiana Pacers,1,3,37,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,6,51,1,0,20211020,CHA,IND
1,Shot Chart Detail,0022100003,322,204456,T.J. McConnell,1610612754,Indiana Pacers,2,4,59,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,22,73,1,0,20211020,CHA,IND
2,Shot Chart Detail,0022100003,347,204456,T.J. McConnell,1610612754,Indiana Pacers,2,3,17,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,6,1,1,20211020,CHA,IND
3,Shot Chart Detail,0022100003,397,204456,T.J. McConnell,1610612754,Indiana Pacers,2,0,0,Missed Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,31,-153,273,1,0,20211020,CHA,IND
4,Shot Chart Detail,0022100003,499,204456,T.J. McConnell,1610612754,Indiana Pacers,3,3,56,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,104,247,1,0,20211020,CHA,IND
5,Shot Chart Detail,0022100003,520,204456,T.J. McConnell,1610612754,Indiana Pacers,3,2,30,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,-1,1,1,20211020,CHA,IND
6,Shot Chart Detail,0022100003,580,204456,T.J. McConnell,1610612754,Indiana Pacers,4,11,19,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,11,10,1,1,20211020,CHA,IND
7,Shot Chart Detail,0022100019,153,204456,T.J. McConnell,1610612754,Indiana Pacers,1,1,49,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,11,-75,82,1,1,20211022,WAS,IND
8,Shot Chart Detail,0022100019,204,204456,T.J. McConnell,1610612754,Indiana Pacers,2,9,14,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-10,71,1,0,20211022,WAS,IND
9,Shot Chart Detail,0022100019,207,204456,T.J. McConnell,1610612754,Indiana Pacers,2,8,52,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,-154,227,1,1,20211022,WAS,IND
10,Shot Chart Detail,0022100019,502,204456,T.J. McConnell,1610612754,Indiana Pacers,3,1,18,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,48,34,1,1,20211022,WAS,IND
11,Shot Chart Detail,0022100019,510,204456,T.J. McConnell,1610612754,Indiana Pacers,3,0,51,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-31,62,1,0,20211022,WAS,IND
12,Shot Chart Detail,0022100019,613,204456,T.J. McConnell,1610612754,Indiana Pacers,4,3,38,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,20,-206,2,1,0,20211022,WAS,IND
13,Shot Chart Detail,0022100019,636,204456,T.J. McConnell,1610612754,Indiana Pacers,4,0,42,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,-165,226,1,0,20211022,WAS,IND
