,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100001,142,203648,Thanasis Antetokounmpo,1610612749,Milwaukee Bucks,1,2,0,Made Shot,Driving Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,5,34,1,1,20211019,MIL,BKN
1,Shot Chart Detail,0022100001,508,203648,Thanasis Antetokounmpo,1610612749,Milwaukee Bucks,3,1,7,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-17,31,1,1,20211019,MIL,BKN
2,Shot Chart Detail,0022100001,677,203648,Thanasis Antetokounmpo,1610612749,Milwaukee Bucks,4,0,57,Missed Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,12,18,1,0,20211019,MIL,BKN
3,Shot Chart Detail,0022100015,336,203648,Thanasis Antetokounmpo,1610612749,Milwaukee Bucks,2,3,35,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,7,10,1,1,20211021,MIA,MIL
4,Shot Chart Detail,0022100015,687,203648,Thanasis Antetokounmpo,1610612749,Milwaukee Bucks,4,2,56,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,0,25,1,1,20211021,MIA,MIL
5,Shot Chart Detail,0022100032,72,203648,Thanasis Antetokounmpo,1610612749,Milwaukee Bucks,1,5,54,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,10,1,1,20211023,SAS,MIL
6,Shot Chart Detail,0022100032,212,203648,Thanasis Antetokounmpo,1610612749,Milwaukee Bucks,2,7,4,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,10,1,0,20211023,SAS,MIL
7,Shot Chart Detail,0022100032,323,203648,Thanasis Antetokounmpo,1610612749,Milwaukee Bucks,2,0,3,Missed Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-23,18,1,0,20211023,SAS,MIL
8,Shot Chart Detail,0022100032,380,203648,Thanasis Antetokounmpo,1610612749,Milwaukee Bucks,3,8,45,Made Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,1,1,1,20211023,SAS,MIL
9,Shot Chart Detail,0022100032,389,203648,Thanasis Antetokounmpo,1610612749,Milwaukee Bucks,3,7,41,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,4,1,0,20211023,SAS,MIL
10,Shot Chart Detail,0022100042,12,203648,Thanasis Antetokounmpo,1610612749,Milwaukee Bucks,1,11,35,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,11,20,1,0,20211025,IND,MIL
11,Shot Chart Detail,0022100042,217,203648,Thanasis Antetokounmpo,1610612749,Milwaukee Bucks,2,11,1,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211025,IND,MIL
12,Shot Chart Detail,0022100042,341,203648,Thanasis Antetokounmpo,1610612749,Milwaukee Bucks,2,2,9,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,11,1,1,20211025,IND,MIL
13,Shot Chart Detail,0022100042,647,203648,Thanasis Antetokounmpo,1610612749,Milwaukee Bucks,4,7,1,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,11,1,1,20211025,IND,MIL
14,Shot Chart Detail,0022100042,660,203648,Thanasis Antetokounmpo,1610612749,Milwaukee Bucks,4,5,31,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,-7,1,1,20211025,IND,MIL
15,Shot Chart Detail,0022100060,127,203648,Thanasis Antetokounmpo,1610612749,Milwaukee Bucks,1,2,16,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,19,1,1,20211027,MIL,MIN
16,Shot Chart Detail,0022100060,156,203648,Thanasis Antetokounmpo,1610612749,Milwaukee Bucks,1,0,46,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20211027,MIL,MIN
17,Shot Chart Detail,0022100060,360,203648,Thanasis Antetokounmpo,1610612749,Milwaukee Bucks,2,0,0,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-43,85,1,0,20211027,MIL,MIN
18,Shot Chart Detail,0022100085,67,203648,Thanasis Antetokounmpo,1610612749,Milwaukee Bucks,1,6,15,Missed Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-29,32,1,0,20211030,MIL,SAS
19,Shot Chart Detail,0022100085,211,203648,Thanasis Antetokounmpo,1610612749,Milwaukee Bucks,2,8,15,Missed Shot,Step Back Jump shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,228,18,1,0,20211030,MIL,SAS
20,Shot Chart Detail,0022100085,256,203648,Thanasis Antetokounmpo,1610612749,Milwaukee Bucks,2,5,41,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-1,30,1,0,20211030,MIL,SAS
21,Shot Chart Detail,0022100091,10,203648,Thanasis Antetokounmpo,1610612749,Milwaukee Bucks,1,10,59,Missed Shot,Cutting Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,14,48,1,0,20211031,MIL,UTA
22,Shot Chart Detail,0022100091,32,203648,Thanasis Antetokounmpo,1610612749,Milwaukee Bucks,1,8,6,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-15,13,1,1,20211031,MIL,UTA
23,Shot Chart Detail,0022100091,34,203648,Thanasis Antetokounmpo,1610612749,Milwaukee Bucks,1,7,39,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,10,20,1,0,20211031,MIL,UTA
24,Shot Chart Detail,0022100091,36,203648,Thanasis Antetokounmpo,1610612749,Milwaukee Bucks,1,7,32,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211031,MIL,UTA
25,Shot Chart Detail,0022100091,166,203648,Thanasis Antetokounmpo,1610612749,Milwaukee Bucks,2,9,38,Missed Shot,Hook Bank Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,7,39,1,0,20211031,MIL,UTA
26,Shot Chart Detail,0022100091,246,203648,Thanasis Antetokounmpo,1610612749,Milwaukee Bucks,2,4,30,Missed Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,17,68,1,0,20211031,MIL,UTA
27,Shot Chart Detail,0022100091,324,203648,Thanasis Antetokounmpo,1610612749,Milwaukee Bucks,3,11,28,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-235,0,1,0,20211031,MIL,UTA
