,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100014,7,203501,Tim Hardaway Jr.,1610612742,Dallas Mavericks,1,11,42,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,76,232,1,1,20211021,ATL,DAL
1,Shot Chart Detail,0022100014,26,203501,Tim Hardaway Jr.,1610612742,Dallas Mavericks,1,9,36,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,232,17,1,0,20211021,ATL,DAL
2,Shot Chart Detail,0022100014,35,203501,Tim Hardaway Jr.,1610612742,Dallas Mavericks,1,8,59,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,11,1,1,20211021,ATL,DAL
3,Shot Chart Detail,0022100014,49,203501,Tim Hardaway Jr.,1610612742,Dallas Mavericks,1,7,29,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,-146,1,1,0,20211021,ATL,DAL
4,Shot Chart Detail,0022100014,89,203501,Tim Hardaway Jr.,1610612742,Dallas Mavericks,1,5,21,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,157,199,1,0,20211021,ATL,DAL
5,Shot Chart Detail,0022100014,277,203501,Tim Hardaway Jr.,1610612742,Dallas Mavericks,2,3,49,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,-29,163,1,1,20211021,ATL,DAL
6,Shot Chart Detail,0022100014,374,203501,Tim Hardaway Jr.,1610612742,Dallas Mavericks,3,8,23,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,118,228,1,0,20211021,ATL,DAL
7,Shot Chart Detail,0022100014,410,203501,Tim Hardaway Jr.,1610612742,Dallas Mavericks,3,6,8,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-190,172,1,0,20211021,ATL,DAL
8,Shot Chart Detail,0022100014,414,203501,Tim Hardaway Jr.,1610612742,Dallas Mavericks,3,5,36,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,145,206,1,1,20211021,ATL,DAL
9,Shot Chart Detail,0022100029,17,203501,Tim Hardaway Jr.,1610612742,Dallas Mavericks,1,10,15,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,227,-6,1,0,20211023,TOR,DAL
