,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100022,636,1628396,Tony Bradley,1610612741,Chicago Bulls,4,1,16,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,6,1,1,20211022,CHI,NOP
1,Shot Chart Detail,0022100067,432,1628396,Tony Bradley,1610612741,Chicago Bulls,3,1,29,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20211028,CHI,NYK
2,Shot Chart Detail,0022100067,434,1628396,Tony Bradley,1610612741,Chicago Bulls,3,1,28,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211028,CHI,NYK
3,Shot Chart Detail,0022100083,447,1628396,Tony Bradley,1610612741,Chicago Bulls,3,3,50,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-9,-1,1,1,20211030,CHI,UTA
4,Shot Chart Detail,0022100083,569,1628396,Tony Bradley,1610612741,Chicago Bulls,4,7,45,Missed Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-5,30,1,0,20211030,CHI,UTA
5,Shot Chart Detail,0022100098,209,1628396,Tony Bradley,1610612741,Chicago Bulls,2,8,36,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-6,38,1,1,20211101,BOS,CHI
6,Shot Chart Detail,0022100098,214,1628396,Tony Bradley,1610612741,Chicago Bulls,2,7,31,Missed Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-32,39,1,0,20211101,BOS,CHI
7,Shot Chart Detail,0022100098,473,1628396,Tony Bradley,1610612741,Chicago Bulls,3,0,28,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211101,BOS,CHI
8,Shot Chart Detail,0022100111,415,1628396,Tony Bradley,1610612741,Chicago Bulls,3,0,27,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,27,0,1,0,20211103,PHI,CHI
9,Shot Chart Detail,0022100135,187,1628396,Tony Bradley,1610612741,Chicago Bulls,2,9,59,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211106,CHI,PHI
10,Shot Chart Detail,0022100135,200,1628396,Tony Bradley,1610612741,Chicago Bulls,2,8,51,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,5,1,0,20211106,CHI,PHI
11,Shot Chart Detail,0022100135,202,1628396,Tony Bradley,1610612741,Chicago Bulls,2,8,47,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20211106,CHI,PHI
12,Shot Chart Detail,0022100135,214,1628396,Tony Bradley,1610612741,Chicago Bulls,2,7,54,Missed Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20211106,CHI,PHI
13,Shot Chart Detail,0022100135,221,1628396,Tony Bradley,1610612741,Chicago Bulls,2,7,18,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,-1,1,1,20211106,CHI,PHI
14,Shot Chart Detail,0022100148,113,1628396,Tony Bradley,1610612741,Chicago Bulls,1,1,45,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211108,CHI,BKN
15,Shot Chart Detail,0022100148,428,1628396,Tony Bradley,1610612741,Chicago Bulls,3,2,43,Missed Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,25,1,1,0,20211108,CHI,BKN
16,Shot Chart Detail,0022100148,437,1628396,Tony Bradley,1610612741,Chicago Bulls,3,2,7,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211108,CHI,BKN
17,Shot Chart Detail,0022100148,487,1628396,Tony Bradley,1610612741,Chicago Bulls,4,10,12,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20211108,CHI,BKN
18,Shot Chart Detail,0022100183,51,1628396,Tony Bradley,1610612741,Chicago Bulls,1,5,59,Made Shot,Cutting Dunk Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,4,46,1,1,20211112,GSW,CHI
19,Shot Chart Detail,0022100183,240,1628396,Tony Bradley,1610612741,Chicago Bulls,2,5,47,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,18,96,1,0,20211112,GSW,CHI
20,Shot Chart Detail,0022100183,372,1628396,Tony Bradley,1610612741,Chicago Bulls,3,8,31,Missed Shot,Cutting Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-39,51,1,0,20211112,GSW,CHI
21,Shot Chart Detail,0022100198,67,1628396,Tony Bradley,1610612741,Chicago Bulls,1,5,45,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,9,1,1,20211114,LAC,CHI
22,Shot Chart Detail,0022100198,236,1628396,Tony Bradley,1610612741,Chicago Bulls,2,6,45,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,18,34,1,0,20211114,LAC,CHI
23,Shot Chart Detail,0022100198,251,1628396,Tony Bradley,1610612741,Chicago Bulls,2,5,5,Missed Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-76,8,1,0,20211114,LAC,CHI
24,Shot Chart Detail,0022100198,324,1628396,Tony Bradley,1610612741,Chicago Bulls,3,11,25,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-39,44,1,0,20211114,LAC,CHI
25,Shot Chart Detail,0022100198,520,1628396,Tony Bradley,1610612741,Chicago Bulls,4,9,0,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,34,64,1,1,20211114,LAC,CHI
26,Shot Chart Detail,0022100209,25,1628396,Tony Bradley,1610612741,Chicago Bulls,1,9,14,Missed Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,6,26,1,0,20211115,LAL,CHI
27,Shot Chart Detail,0022100209,296,1628396,Tony Bradley,1610612741,Chicago Bulls,3,11,3,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-7,23,1,1,20211115,LAL,CHI
28,Shot Chart Detail,0022100209,472,1628396,Tony Bradley,1610612741,Chicago Bulls,3,1,14,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,11,34,1,1,20211115,LAL,CHI
29,Shot Chart Detail,0022100209,522,1628396,Tony Bradley,1610612741,Chicago Bulls,4,10,42,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,5,1,0,20211115,LAL,CHI
30,Shot Chart Detail,0022100209,548,1628396,Tony Bradley,1610612741,Chicago Bulls,4,8,44,Made Shot,Turnaround Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,9,37,1,1,20211115,LAL,CHI
31,Shot Chart Detail,0022100223,16,1628396,Tony Bradley,1610612741,Chicago Bulls,1,11,13,Missed Shot,Turnaround Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,10,23,1,0,20211117,POR,CHI
32,Shot Chart Detail,0022100223,87,1628396,Tony Bradley,1610612741,Chicago Bulls,1,5,22,Missed Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-9,29,1,0,20211117,POR,CHI
33,Shot Chart Detail,0022100223,266,1628396,Tony Bradley,1610612741,Chicago Bulls,2,4,21,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,-1,1,1,20211117,POR,CHI
34,Shot Chart Detail,0022100223,333,1628396,Tony Bradley,1610612741,Chicago Bulls,3,10,45,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,1,1,1,20211117,POR,CHI
35,Shot Chart Detail,0022100223,350,1628396,Tony Bradley,1610612741,Chicago Bulls,3,9,19,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,10,1,0,20211117,POR,CHI
36,Shot Chart Detail,0022100223,394,1628396,Tony Bradley,1610612741,Chicago Bulls,3,6,19,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-9,3,1,1,20211117,POR,CHI
37,Shot Chart Detail,0022100236,13,1628396,Tony Bradley,1610612741,Chicago Bulls,1,10,28,Made Shot,Jump Bank Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,-11,160,1,1,20211119,DEN,CHI
38,Shot Chart Detail,0022100236,27,1628396,Tony Bradley,1610612741,Chicago Bulls,1,8,56,Made Shot,Turnaround Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,32,1,1,1,20211119,DEN,CHI
39,Shot Chart Detail,0022100236,302,1628396,Tony Bradley,1610612741,Chicago Bulls,3,10,0,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,10,1,1,20211119,DEN,CHI
40,Shot Chart Detail,0022100250,17,1628396,Tony Bradley,1610612741,Chicago Bulls,1,10,55,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,0,48,1,1,20211121,CHI,NYK
41,Shot Chart Detail,0022100250,29,1628396,Tony Bradley,1610612741,Chicago Bulls,1,9,54,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211121,CHI,NYK
42,Shot Chart Detail,0022100250,67,1628396,Tony Bradley,1610612741,Chicago Bulls,1,6,51,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,11,25,1,0,20211121,CHI,NYK
43,Shot Chart Detail,0022100250,69,1628396,Tony Bradley,1610612741,Chicago Bulls,1,6,48,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20211121,CHI,NYK
44,Shot Chart Detail,0022100250,216,1628396,Tony Bradley,1610612741,Chicago Bulls,2,9,31,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,11,1,1,20211121,CHI,NYK
45,Shot Chart Detail,0022100257,30,1628396,Tony Bradley,1610612741,Chicago Bulls,1,9,20,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-48,52,1,0,20211122,CHI,IND
46,Shot Chart Detail,0022100257,48,1628396,Tony Bradley,1610612741,Chicago Bulls,1,7,12,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,0,1,1,20211122,CHI,IND
47,Shot Chart Detail,0022100257,51,1628396,Tony Bradley,1610612741,Chicago Bulls,1,6,41,Made Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-3,39,1,1,20211122,CHI,IND
48,Shot Chart Detail,0022100257,228,1628396,Tony Bradley,1610612741,Chicago Bulls,2,6,15,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,3,1,1,20211122,CHI,IND
49,Shot Chart Detail,0022100271,559,1628396,Tony Bradley,1610612741,Chicago Bulls,4,7,20,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,16,25,1,0,20211124,HOU,CHI
50,Shot Chart Detail,0022100283,618,1628396,Tony Bradley,1610612741,Chicago Bulls,4,3,4,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-2,36,1,1,20211126,ORL,CHI
51,Shot Chart Detail,0022100283,626,1628396,Tony Bradley,1610612741,Chicago Bulls,4,2,19,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,5,185,1,1,20211126,ORL,CHI
52,Shot Chart Detail,0022100343,454,1628396,Tony Bradley,1610612741,Chicago Bulls,3,1,13,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-15,-1,1,1,20211204,BKN,CHI
53,Shot Chart Detail,0022100357,151,1628396,Tony Bradley,1610612741,Chicago Bulls,1,0,35,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,-18,147,1,0,20211206,CHI,DEN
54,Shot Chart Detail,0022100357,523,1628396,Tony Bradley,1610612741,Chicago Bulls,4,10,54,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,-1,1,1,20211206,CHI,DEN
55,Shot Chart Detail,0022100367,96,1628396,Tony Bradley,1610612741,Chicago Bulls,1,3,42,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,5,1,0,20211208,CLE,CHI
