,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100011,160,1630544,Tre Mann,1610612760,Oklahoma City Thunder,1,0,0,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,23,157,170,1,1,20211020,UTA,OKC
1,Shot Chart Detail,0022100011,167,1630544,Tre Mann,1610612760,Oklahoma City Thunder,2,11,52,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,176,177,1,0,20211020,UTA,OKC
2,Shot Chart Detail,0022100011,173,1630544,Tre Mann,1610612760,Oklahoma City Thunder,2,11,18,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-18,111,1,0,20211020,UTA,OKC
3,Shot Chart Detail,0022100011,414,1630544,Tre Mann,1610612760,Oklahoma City Thunder,3,4,52,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,22,77,210,1,1,20211020,UTA,OKC
4,Shot Chart Detail,0022100011,459,1630544,Tre Mann,1610612760,Oklahoma City Thunder,3,1,54,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,13,1,1,20211020,UTA,OKC
5,Shot Chart Detail,0022100011,608,1630544,Tre Mann,1610612760,Oklahoma City Thunder,4,3,2,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,-21,197,1,0,20211020,UTA,OKC
6,Shot Chart Detail,0022100011,618,1630544,Tre Mann,1610612760,Oklahoma City Thunder,4,2,8,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,188,207,1,1,20211020,UTA,OKC
7,Shot Chart Detail,0022100023,131,1630544,Tre Mann,1610612760,Oklahoma City Thunder,1,2,48,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,222,5,1,0,20211022,HOU,OKC
8,Shot Chart Detail,0022100023,153,1630544,Tre Mann,1610612760,Oklahoma City Thunder,1,0,57,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-60,36,1,1,20211022,HOU,OKC
9,Shot Chart Detail,0022100023,657,1630544,Tre Mann,1610612760,Oklahoma City Thunder,4,4,14,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,23,31,233,1,0,20211022,HOU,OKC
