,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100494,88,1629682,Tremont Waters,1610612761,Toronto Raptors,1,5,44,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,92,56,1,1,20211226,CLE,TOR
1,Shot Chart Detail,0022100494,142,1629682,Tremont Waters,1610612761,Toronto Raptors,1,2,55,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-207,151,1,1,20211226,CLE,TOR
2,Shot Chart Detail,0022100494,177,1629682,Tremont Waters,1610612761,Toronto Raptors,1,0,32,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,30,53,298,1,0,20211226,CLE,TOR
3,Shot Chart Detail,0022100494,187,1629682,Tremont Waters,1610612761,Toronto Raptors,1,0,3,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,132,225,1,0,20211226,CLE,TOR
4,Shot Chart Detail,0022100494,331,1629682,Tremont Waters,1610612761,Toronto Raptors,2,2,32,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,114,213,1,0,20211226,CLE,TOR
5,Shot Chart Detail,0022100494,350,1629682,Tremont Waters,1610612761,Toronto Raptors,2,0,31,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,35,-211,288,1,0,20211226,CLE,TOR
6,Shot Chart Detail,0022100494,362,1629682,Tremont Waters,1610612761,Toronto Raptors,2,0,0,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,41,-143,387,1,0,20211226,CLE,TOR
7,Shot Chart Detail,0022100494,504,1629682,Tremont Waters,1610612761,Toronto Raptors,3,1,15,Missed Shot,Step Back Jump shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-222,-21,1,0,20211226,CLE,TOR
8,Shot Chart Detail,0022100494,546,1629682,Tremont Waters,1610612761,Toronto Raptors,4,10,25,Missed Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,-71,47,1,0,20211226,CLE,TOR
9,Shot Chart Detail,0022100494,561,1629682,Tremont Waters,1610612761,Toronto Raptors,4,9,8,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,32,-105,309,1,1,20211226,CLE,TOR
10,Shot Chart Detail,0022100494,604,1629682,Tremont Waters,1610612761,Toronto Raptors,4,5,35,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,22,-77,207,1,0,20211226,CLE,TOR
11,Shot Chart Detail,0022100510,114,1629682,Tremont Waters,1610612761,Toronto Raptors,1,2,22,Missed Shot,Pullup Jump shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-223,12,1,0,20211228,TOR,PHI
12,Shot Chart Detail,0022100541,95,1629682,Tremont Waters,1610612764,Washington Wizards,1,4,40,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-28,26,1,1,20220101,WAS,CHI
13,Shot Chart Detail,0022100541,119,1629682,Tremont Waters,1610612764,Washington Wizards,1,3,25,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,11,-75,85,1,0,20220101,WAS,CHI
