,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100014,532,203504,Trey Burke,1610612742,Dallas Mavericks,4,8,38,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14,44,134,1,0,20211021,ATL,DAL
1,Shot Chart Detail,0022100014,636,203504,Trey Burke,1610612742,Dallas Mavericks,4,1,43,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,13,1,1,20211021,ATL,DAL
2,Shot Chart Detail,0022100014,654,203504,Trey Burke,1610612742,Dallas Mavericks,4,0,3,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,77,252,1,1,20211021,ATL,DAL
3,Shot Chart Detail,0022100052,270,203504,Trey Burke,1610612742,Dallas Mavericks,2,4,50,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,-239,48,1,0,20211026,DAL,HOU
4,Shot Chart Detail,0022100075,463,203504,Trey Burke,1610612742,Dallas Mavericks,3,2,8,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,121,238,1,1,20211029,DEN,DAL
5,Shot Chart Detail,0022100075,467,203504,Trey Burke,1610612742,Dallas Mavericks,3,1,24,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,75,257,1,0,20211029,DEN,DAL
6,Shot Chart Detail,0022100075,500,203504,Trey Burke,1610612742,Dallas Mavericks,4,10,58,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-97,231,1,0,20211029,DEN,DAL
7,Shot Chart Detail,0022100075,504,203504,Trey Burke,1610612742,Dallas Mavericks,4,10,28,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,159,48,1,0,20211029,DEN,DAL
8,Shot Chart Detail,0022100075,512,203504,Trey Burke,1610612742,Dallas Mavericks,4,9,24,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,-80,189,1,1,20211029,DEN,DAL
9,Shot Chart Detail,0022100075,546,203504,Trey Burke,1610612742,Dallas Mavericks,4,7,18,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,125,141,1,0,20211029,DEN,DAL
