,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100183,522,1629076,Tyler Cook,1610612741,Chicago Bulls,4,10,58,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-9,3,1,1,20211112,GSW,CHI
1,Shot Chart Detail,0022100183,580,1629076,Tyler Cook,1610612741,Chicago Bulls,4,5,45,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,32,16,1,1,20211112,GSW,CHI
2,Shot Chart Detail,0022100183,636,1629076,Tyler Cook,1610612741,Chicago Bulls,4,1,32,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,9,37,1,0,20211112,GSW,CHI
3,Shot Chart Detail,0022100394,613,1629076,Tyler Cook,1610612741,Chicago Bulls,4,0,53,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,48,27,1,0,20211211,MIA,CHI
4,Shot Chart Detail,0022100430,418,1629076,Tyler Cook,1610612741,Chicago Bulls,3,2,58,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20220203,TOR,CHI
5,Shot Chart Detail,0022100430,451,1629076,Tyler Cook,1610612741,Chicago Bulls,3,1,1,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-21,22,1,0,20220203,TOR,CHI
6,Shot Chart Detail,0022100459,103,1629076,Tyler Cook,1610612741,Chicago Bulls,1,3,37,Made Shot,Cutting Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,6,43,1,1,20211220,CHI,HOU
7,Shot Chart Detail,0022100459,498,1629076,Tyler Cook,1610612741,Chicago Bulls,4,11,47,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,18,1,1,20211220,CHI,HOU
8,Shot Chart Detail,0022100459,507,1629076,Tyler Cook,1610612741,Chicago Bulls,4,10,17,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-27,7,1,0,20211220,CHI,HOU
9,Shot Chart Detail,0022100472,522,1629076,Tyler Cook,1610612741,Chicago Bulls,4,11,4,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-21,8,1,0,20220126,CHI,TOR
