,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100013,25,1630169,Tyrese Haliburton,1610612758,Sacramento Kings,1,9,57,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-40,105,1,0,20211020,POR,SAC
1,Shot Chart Detail,0022100013,229,1630169,Tyrese Haliburton,1610612758,Sacramento Kings,2,8,20,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-38,19,1,0,20211020,POR,SAC
2,Shot Chart Detail,0022100013,260,1630169,Tyrese Haliburton,1610612758,Sacramento Kings,2,5,46,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,211,141,1,0,20211020,POR,SAC
3,Shot Chart Detail,0022100013,372,1630169,Tyrese Haliburton,1610612758,Sacramento Kings,3,11,15,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,4,1,1,20211020,POR,SAC
4,Shot Chart Detail,0022100013,385,1630169,Tyrese Haliburton,1610612758,Sacramento Kings,3,9,46,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,28,94,1,0,20211020,POR,SAC
5,Shot Chart Detail,0022100026,53,1630169,Tyrese Haliburton,1610612758,Sacramento Kings,1,7,31,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,-91,123,1,1,20211022,SAC,UTA
6,Shot Chart Detail,0022100026,61,1630169,Tyrese Haliburton,1610612758,Sacramento Kings,1,7,4,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-7,85,1,1,20211022,SAC,UTA
7,Shot Chart Detail,0022100026,223,1630169,Tyrese Haliburton,1610612758,Sacramento Kings,2,8,13,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,44,76,1,0,20211022,SAC,UTA
8,Shot Chart Detail,0022100026,227,1630169,Tyrese Haliburton,1610612758,Sacramento Kings,2,7,56,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,4,1,1,20211022,SAC,UTA
9,Shot Chart Detail,0022100026,240,1630169,Tyrese Haliburton,1610612758,Sacramento Kings,2,7,26,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,-2,160,1,0,20211022,SAC,UTA
10,Shot Chart Detail,0022100026,248,1630169,Tyrese Haliburton,1610612758,Sacramento Kings,2,6,52,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,-188,202,1,0,20211022,SAC,UTA
11,Shot Chart Detail,0022100026,254,1630169,Tyrese Haliburton,1610612758,Sacramento Kings,2,5,52,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,54,101,1,1,20211022,SAC,UTA
12,Shot Chart Detail,0022100026,262,1630169,Tyrese Haliburton,1610612758,Sacramento Kings,2,4,45,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,25,115,1,1,20211022,SAC,UTA
13,Shot Chart Detail,0022100026,341,1630169,Tyrese Haliburton,1610612758,Sacramento Kings,3,11,31,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,-113,177,1,1,20211022,SAC,UTA
