,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022101017,193,1627820,Tyrone Wallace,1610612740,New Orleans Pelicans,2,9,56,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-233,-6,1,0,20220313,NOP,HOU
1,Shot Chart Detail,0022101017,198,1627820,Tyrone Wallace,1610612740,New Orleans Pelicans,2,9,19,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,17,12,1,1,20220313,NOP,HOU
2,Shot Chart Detail,0022101017,463,1627820,Tyrone Wallace,1610612740,New Orleans Pelicans,3,3,37,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-17,-2,1,0,20220313,NOP,HOU
3,Shot Chart Detail,0022101017,482,1627820,Tyrone Wallace,1610612740,New Orleans Pelicans,3,2,3,Missed Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-25,63,1,0,20220313,NOP,HOU
4,Shot Chart Detail,0022101017,487,1627820,Tyrone Wallace,1610612740,New Orleans Pelicans,3,1,33,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,-2,1,1,20220313,NOP,HOU
5,Shot Chart Detail,0022101017,666,1627820,Tyrone Wallace,1610612740,New Orleans Pelicans,4,0,46,Made Shot,Jump Shot,3PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,22,-219,67,1,1,20220313,NOP,HOU
6,Shot Chart Detail,0022101032,178,1627820,Tyrone Wallace,1610612740,New Orleans Pelicans,2,10,23,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-21,0,1,1,20220315,NOP,PHX
7,Shot Chart Detail,0022101032,522,1627820,Tyrone Wallace,1610612740,New Orleans Pelicans,4,7,33,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-4,73,1,0,20220315,NOP,PHX
8,Shot Chart Detail,0022101032,577,1627820,Tyrone Wallace,1610612740,New Orleans Pelicans,4,3,50,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,0,28,1,0,20220315,NOP,PHX
9,Shot Chart Detail,0022101054,223,1627820,Tyrone Wallace,1610612740,New Orleans Pelicans,2,8,2,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,237,18,1,0,20220318,SAS,NOP
10,Shot Chart Detail,0022101054,537,1627820,Tyrone Wallace,1610612740,New Orleans Pelicans,4,10,53,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-121,221,1,0,20220318,SAS,NOP
11,Shot Chart Detail,0022101054,638,1627820,Tyrone Wallace,1610612740,New Orleans Pelicans,4,2,24,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,127,225,1,0,20220318,SAS,NOP
12,Shot Chart Detail,0022101054,646,1627820,Tyrone Wallace,1610612740,New Orleans Pelicans,4,1,47,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,234,-10,1,1,20220318,SAS,NOP
13,Shot Chart Detail,0022101054,667,1627820,Tyrone Wallace,1610612740,New Orleans Pelicans,4,0,19,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,26,241,1,0,20220318,SAS,NOP
14,Shot Chart Detail,0022101064,158,1627820,Tyrone Wallace,1610612740,New Orleans Pelicans,1,0,46,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,10,1,1,20220320,ATL,NOP
15,Shot Chart Detail,0022101064,186,1627820,Tyrone Wallace,1610612740,New Orleans Pelicans,2,10,58,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,-94,167,1,0,20220320,ATL,NOP
16,Shot Chart Detail,0022101064,199,1627820,Tyrone Wallace,1610612740,New Orleans Pelicans,2,9,59,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-1,21,1,1,20220320,ATL,NOP
17,Shot Chart Detail,0022101064,209,1627820,Tyrone Wallace,1610612740,New Orleans Pelicans,2,9,19,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-134,222,1,0,20220320,ATL,NOP
18,Shot Chart Detail,0022101071,541,1627820,Tyrone Wallace,1610612740,New Orleans Pelicans,4,8,8,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,9,55,1,0,20220321,CHA,NOP
19,Shot Chart Detail,0022101071,545,1627820,Tyrone Wallace,1610612740,New Orleans Pelicans,4,7,26,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-38,119,1,0,20220321,CHA,NOP
