,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100007,145,1626145,Tyus Jones,1610612763,Memphis Grizzlies,1,1,0,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,11,70,85,1,1,20211020,MEM,CLE
1,Shot Chart Detail,0022100007,148,1626145,Tyus Jones,1610612763,Memphis Grizzlies,1,0,33,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-15,101,1,0,20211020,MEM,CLE
2,Shot Chart Detail,0022100007,152,1626145,Tyus Jones,1610612763,Memphis Grizzlies,1,0,2,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-4,153,1,1,20211020,MEM,CLE
3,Shot Chart Detail,0022100007,218,1626145,Tyus Jones,1610612763,Memphis Grizzlies,2,7,43,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,12,30,1,0,20211020,MEM,CLE
4,Shot Chart Detail,0022100007,223,1626145,Tyus Jones,1610612763,Memphis Grizzlies,2,7,14,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-45,246,1,1,20211020,MEM,CLE
5,Shot Chart Detail,0022100007,496,1626145,Tyus Jones,1610612763,Memphis Grizzlies,3,0,28,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-125,223,1,0,20211020,MEM,CLE
6,Shot Chart Detail,0022100007,544,1626145,Tyus Jones,1610612763,Memphis Grizzlies,4,9,27,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,7,8,1,1,20211020,MEM,CLE
7,Shot Chart Detail,0022100034,137,1626145,Tyus Jones,1610612763,Memphis Grizzlies,1,0,22,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-4,258,1,0,20211023,LAC,MEM
8,Shot Chart Detail,0022100034,179,1626145,Tyus Jones,1610612763,Memphis Grizzlies,2,9,28,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,60,176,1,0,20211023,LAC,MEM
9,Shot Chart Detail,0022100034,522,1626145,Tyus Jones,1610612763,Memphis Grizzlies,4,9,29,Missed Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,5,12,1,0,20211023,LAC,MEM
10,Shot Chart Detail,0022100040,224,1626145,Tyus Jones,1610612763,Memphis Grizzlies,2,7,46,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-11,22,1,1,20211024,LAL,MEM
11,Shot Chart Detail,0022100040,259,1626145,Tyus Jones,1610612763,Memphis Grizzlies,2,5,41,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,11,1,1,20211024,LAL,MEM
