,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100211,632,1628962,Udoka Azubuike,1610612762,Utah Jazz,4,0,54,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-31,9,1,1,20211116,UTA,PHI
1,Shot Chart Detail,0022100575,15,1628962,Udoka Azubuike,1610612762,Utah Jazz,1,10,42,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,5,1,1,1,20220105,DEN,UTA
2,Shot Chart Detail,0022100575,43,1628962,Udoka Azubuike,1610612762,Utah Jazz,1,7,53,Missed Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,8,1,0,20220105,DEN,UTA
3,Shot Chart Detail,0022100575,336,1628962,Udoka Azubuike,1610612762,Utah Jazz,3,8,55,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,6,1,1,20220105,DEN,UTA
4,Shot Chart Detail,0022100584,254,1628962,Udoka Azubuike,1610612762,Utah Jazz,2,6,3,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,5,1,1,20220107,TOR,UTA
5,Shot Chart Detail,0022100677,98,1628962,Udoka Azubuike,1610612762,Utah Jazz,1,4,51,Made Shot,Hook Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,10,55,1,1,20220119,UTA,HOU
6,Shot Chart Detail,0022100677,117,1628962,Udoka Azubuike,1610612762,Utah Jazz,1,3,21,Missed Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-16,32,1,0,20220119,UTA,HOU
7,Shot Chart Detail,0022100713,63,1628962,Udoka Azubuike,1610612762,Utah Jazz,1,5,58,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,5,63,1,0,20220124,PHX,UTA
8,Shot Chart Detail,0022100757,654,1628962,Udoka Azubuike,1610612762,Utah Jazz,4,0,50,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-2,55,1,1,20220130,MIN,UTA
9,Shot Chart Detail,0022100779,23,1628962,Udoka Azubuike,1610612762,Utah Jazz,1,10,11,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,25,21,1,1,20220202,UTA,DEN
10,Shot Chart Detail,0022100779,32,1628962,Udoka Azubuike,1610612762,Utah Jazz,1,9,3,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,20,1,0,20220202,UTA,DEN
11,Shot Chart Detail,0022100779,34,1628962,Udoka Azubuike,1610612762,Utah Jazz,1,9,0,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20220202,UTA,DEN
12,Shot Chart Detail,0022100779,297,1628962,Udoka Azubuike,1610612762,Utah Jazz,3,10,49,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,13,1,1,20220202,UTA,DEN
13,Shot Chart Detail,0022100779,315,1628962,Udoka Azubuike,1610612762,Utah Jazz,3,8,51,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,9,1,0,20220202,UTA,DEN
14,Shot Chart Detail,0022100779,322,1628962,Udoka Azubuike,1610612762,Utah Jazz,3,8,24,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,4,1,1,20220202,UTA,DEN
15,Shot Chart Detail,0022100779,464,1628962,Udoka Azubuike,1610612762,Utah Jazz,4,8,54,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,10,-62,87,1,0,20220202,UTA,DEN
16,Shot Chart Detail,0022100793,31,1628962,Udoka Azubuike,1610612762,Utah Jazz,1,9,47,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-21,20,1,1,20220204,UTA,BKN
17,Shot Chart Detail,0022100793,72,1628962,Udoka Azubuike,1610612762,Utah Jazz,1,6,6,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-21,34,1,1,20220204,UTA,BKN
18,Shot Chart Detail,0022100793,233,1628962,Udoka Azubuike,1610612762,Utah Jazz,2,8,25,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,23,41,1,0,20220204,UTA,BKN
19,Shot Chart Detail,0022100793,271,1628962,Udoka Azubuike,1610612762,Utah Jazz,2,5,30,Missed Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-26,15,1,0,20220204,UTA,BKN
20,Shot Chart Detail,0022100793,597,1628962,Udoka Azubuike,1610612762,Utah Jazz,4,4,40,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,15,1,1,20220204,UTA,BKN
21,Shot Chart Detail,0022100793,604,1628962,Udoka Azubuike,1610612762,Utah Jazz,4,3,36,Missed Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,1,1,0,20220204,UTA,BKN
22,Shot Chart Detail,0022100793,606,1628962,Udoka Azubuike,1610612762,Utah Jazz,4,3,33,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-31,61,1,1,20220204,UTA,BKN
23,Shot Chart Detail,0022100793,630,1628962,Udoka Azubuike,1610612762,Utah Jazz,4,1,7,Made Shot,Reverse Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,5,1,1,20220204,UTA,BKN
24,Shot Chart Detail,0022100814,361,1628962,Udoka Azubuike,1610612762,Utah Jazz,3,9,53,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,5,1,1,20220207,UTA,NYK
25,Shot Chart Detail,0022100814,457,1628962,Udoka Azubuike,1610612762,Utah Jazz,3,4,13,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-23,17,1,0,20220207,UTA,NYK
26,Shot Chart Detail,0022100814,518,1628962,Udoka Azubuike,1610612762,Utah Jazz,3,0,40,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,5,1,1,20220207,UTA,NYK
27,Shot Chart Detail,0022100814,523,1628962,Udoka Azubuike,1610612762,Utah Jazz,3,0,10,Missed Shot,Turnaround Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,28,27,1,0,20220207,UTA,NYK
28,Shot Chart Detail,0022100814,650,1628962,Udoka Azubuike,1610612762,Utah Jazz,4,4,2,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,16,1,1,20220207,UTA,NYK
29,Shot Chart Detail,0022100828,33,1628962,Udoka Azubuike,1610612762,Utah Jazz,1,8,58,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,23,23,1,1,20220209,UTA,GSW
30,Shot Chart Detail,0022100828,52,1628962,Udoka Azubuike,1610612762,Utah Jazz,1,6,11,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,2,25,1,1,20220209,UTA,GSW
31,Shot Chart Detail,0022100828,376,1628962,Udoka Azubuike,1610612762,Utah Jazz,3,8,4,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-27,-2,1,1,20220209,UTA,GSW
32,Shot Chart Detail,0022100828,620,1628962,Udoka Azubuike,1610612762,Utah Jazz,4,2,32,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,5,1,1,20220209,UTA,GSW
33,Shot Chart Detail,0022100828,643,1628962,Udoka Azubuike,1610612762,Utah Jazz,4,0,39,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,4,1,1,20220209,UTA,GSW
34,Shot Chart Detail,0022100844,20,1628962,Udoka Azubuike,1610612762,Utah Jazz,1,10,35,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,5,1,1,20220211,UTA,ORL
35,Shot Chart Detail,0022100844,44,1628962,Udoka Azubuike,1610612762,Utah Jazz,1,7,46,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-5,13,1,1,20220211,UTA,ORL
36,Shot Chart Detail,0022100844,506,1628962,Udoka Azubuike,1610612762,Utah Jazz,4,8,53,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,4,22,1,1,20220211,UTA,ORL
37,Shot Chart Detail,0022100844,528,1628962,Udoka Azubuike,1610612762,Utah Jazz,4,7,27,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,26,18,1,1,20220211,UTA,ORL
38,Shot Chart Detail,0022100844,532,1628962,Udoka Azubuike,1610612762,Utah Jazz,4,7,9,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,26,16,1,1,20220211,UTA,ORL
39,Shot Chart Detail,0022100844,555,1628962,Udoka Azubuike,1610612762,Utah Jazz,4,5,30,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-12,16,1,1,20220211,UTA,ORL
40,Shot Chart Detail,0022100865,268,1628962,Udoka Azubuike,1610612762,Utah Jazz,2,5,46,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,17,16,1,1,20220214,UTA,HOU
41,Shot Chart Detail,0022100865,288,1628962,Udoka Azubuike,1610612762,Utah Jazz,2,4,18,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,18,27,1,1,20220214,UTA,HOU
42,Shot Chart Detail,0022100865,638,1628962,Udoka Azubuike,1610612762,Utah Jazz,4,1,49,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-6,20,1,1,20220214,UTA,HOU
43,Shot Chart Detail,0022100865,655,1628962,Udoka Azubuike,1610612762,Utah Jazz,4,0,35,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,21,1,1,1,20220214,UTA,HOU
44,Shot Chart Detail,0022100950,582,1628962,Udoka Azubuike,1610612762,Utah Jazz,4,6,58,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-13,46,1,0,20220304,NOP,UTA
45,Shot Chart Detail,0022100950,660,1628962,Udoka Azubuike,1610612762,Utah Jazz,4,1,12,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,-2,1,1,20220304,NOP,UTA
46,Shot Chart Detail,0022100990,560,1628962,Udoka Azubuike,1610612762,Utah Jazz,4,7,26,Made Shot,Turnaround Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-5,27,1,1,20220309,UTA,POR
47,Shot Chart Detail,0022100990,608,1628962,Udoka Azubuike,1610612762,Utah Jazz,4,4,39,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-15,24,1,1,20220309,UTA,POR
