,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100008,653,1630586,Usman Garuba,1610612745,Houston Rockets,4,4,47,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,11,8,1,0,20211020,MIN,HOU
1,Shot Chart Detail,0022100008,671,1630586,Usman Garuba,1610612745,Houston Rockets,4,4,26,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,4,1,1,20211020,MIN,HOU
2,Shot Chart Detail,0022100008,703,1630586,Usman Garuba,1610612745,Houston Rockets,4,2,3,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,5,10,1,1,20211020,MIN,HOU
3,Shot Chart Detail,0022100023,670,1630586,Usman Garuba,1610612745,Houston Rockets,4,3,25,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,140,220,1,0,20211022,HOU,OKC
4,Shot Chart Detail,0022100068,589,1630586,Usman Garuba,1610612745,Houston Rockets,4,6,39,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-121,241,1,0,20211028,HOU,UTA
5,Shot Chart Detail,0022100068,617,1630586,Usman Garuba,1610612745,Houston Rockets,4,4,57,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,140,223,1,0,20211028,HOU,UTA
6,Shot Chart Detail,0022100145,660,1630586,Usman Garuba,1610612745,Houston Rockets,4,3,53,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,229,31,1,0,20211107,GSW,HOU
7,Shot Chart Detail,0022100145,669,1630586,Usman Garuba,1610612745,Houston Rockets,4,2,36,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,13,246,1,1,20211107,GSW,HOU
8,Shot Chart Detail,0022100195,657,1630586,Usman Garuba,1610612745,Houston Rockets,4,3,26,Missed Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,2,1,0,20211114,HOU,PHX
9,Shot Chart Detail,0022100195,662,1630586,Usman Garuba,1610612745,Houston Rockets,4,2,59,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-18,260,1,0,20211114,HOU,PHX
10,Shot Chart Detail,0022100195,685,1630586,Usman Garuba,1610612745,Houston Rockets,4,0,30,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,0,262,1,0,20211114,HOU,PHX
11,Shot Chart Detail,0022100205,651,1630586,Usman Garuba,1610612745,Houston Rockets,4,3,43,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,7,9,1,0,20211115,MEM,HOU
12,Shot Chart Detail,0022100205,662,1630586,Usman Garuba,1610612745,Houston Rockets,4,2,46,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,78,235,1,1,20211115,MEM,HOU
13,Shot Chart Detail,0022100205,682,1630586,Usman Garuba,1610612745,Houston Rockets,4,0,43,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,-4,1,1,20211115,MEM,HOU
14,Shot Chart Detail,0022100417,243,1630586,Usman Garuba,1610612745,Houston Rockets,2,7,17,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,8,1,1,20211215,CLE,HOU
15,Shot Chart Detail,0022100417,620,1630586,Usman Garuba,1610612745,Houston Rockets,4,5,32,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,-80,267,1,0,20211215,CLE,HOU
16,Shot Chart Detail,0022100473,722,1630586,Usman Garuba,1610612745,Houston Rockets,4,1,10,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-235,29,1,0,20211222,MIL,HOU
17,Shot Chart Detail,0022100501,144,1630586,Usman Garuba,1610612745,Houston Rockets,1,1,11,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-233,8,1,0,20211227,CHA,HOU
