,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100542,179,1629117,Wenyen Gabriel,1610612746,LA Clippers,2,10,50,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-21,258,1,1,20220101,BKN,LAC
1,Shot Chart Detail,0022100542,214,1629117,Wenyen Gabriel,1610612746,LA Clippers,2,8,19,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,8,1,1,20220101,BKN,LAC
2,Shot Chart Detail,0022100542,511,1629117,Wenyen Gabriel,1610612746,LA Clippers,4,9,31,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,131,218,1,0,20220101,BKN,LAC
3,Shot Chart Detail,0022100561,96,1629117,Wenyen Gabriel,1610612746,LA Clippers,1,2,37,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-26,40,1,0,20220103,LAC,MIN
4,Shot Chart Detail,0022100561,208,1629117,Wenyen Gabriel,1610612746,LA Clippers,2,11,25,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,3,23,1,0,20220103,LAC,MIN
5,Shot Chart Detail,0022100561,406,1629117,Wenyen Gabriel,1610612746,LA Clippers,3,1,13,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,2,20,1,0,20220103,LAC,MIN
6,Shot Chart Detail,0022100561,550,1629117,Wenyen Gabriel,1610612746,LA Clippers,4,2,50,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-119,226,1,0,20220103,LAC,MIN
7,Shot Chart Detail,0022100561,579,1629117,Wenyen Gabriel,1610612746,LA Clippers,4,0,45,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,29,20,1,1,20220103,LAC,MIN
8,Shot Chart Detail,0022100581,673,1629117,Wenyen Gabriel,1610612746,LA Clippers,4,0,55,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-5,16,1,0,20220106,PHX,LAC
9,Shot Chart Detail,0022100581,662,1629117,Wenyen Gabriel,1610612746,LA Clippers,4,0,54,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-13,30,1,0,20220106,PHX,LAC
10,Shot Chart Detail,0022100591,674,1629117,Wenyen Gabriel,1610612746,LA Clippers,4,5,8,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-237,5,1,0,20220108,LAC,MEM
11,Shot Chart Detail,0022100591,721,1629117,Wenyen Gabriel,1610612746,LA Clippers,4,2,55,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-15,4,1,1,20220108,LAC,MEM
12,Shot Chart Detail,0022100629,540,1629117,Wenyen Gabriel,1610612746,LA Clippers,4,4,5,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,219,119,1,1,20220113,NOP,LAC
13,Shot Chart Detail,0022100945,612,1629117,Wenyen Gabriel,1610612747,Los Angeles Lakers,4,3,15,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-9,35,1,0,20220303,LAC,LAL
14,Shot Chart Detail,0022100945,620,1629117,Wenyen Gabriel,1610612747,Los Angeles Lakers,4,2,25,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,-97,256,1,1,20220303,LAC,LAL
15,Shot Chart Detail,0022100945,628,1629117,Wenyen Gabriel,1610612747,Los Angeles Lakers,4,1,31,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-207,156,1,0,20220303,LAC,LAL
16,Shot Chart Detail,0022100985,548,1629117,Wenyen Gabriel,1610612747,Los Angeles Lakers,3,0,7,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,234,12,1,0,20220309,HOU,LAL
17,Shot Chart Detail,0022101004,238,1629117,Wenyen Gabriel,1610612747,Los Angeles Lakers,2,6,54,Missed Shot,Putback Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,16,40,1,0,20220311,LAL,WAS
18,Shot Chart Detail,0022101004,493,1629117,Wenyen Gabriel,1610612747,Los Angeles Lakers,3,1,4,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-227,10,1,1,20220311,LAL,WAS
19,Shot Chart Detail,0022101004,497,1629117,Wenyen Gabriel,1610612747,Los Angeles Lakers,3,0,30,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,-1,1,1,20220311,LAL,WAS
20,Shot Chart Detail,0022101004,549,1629117,Wenyen Gabriel,1610612747,Los Angeles Lakers,4,8,37,Missed Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-29,12,1,0,20220311,LAL,WAS
21,Shot Chart Detail,0022101004,557,1629117,Wenyen Gabriel,1610612747,Los Angeles Lakers,4,8,25,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,229,7,1,0,20220311,LAL,WAS
22,Shot Chart Detail,0022101019,566,1629117,Wenyen Gabriel,1610612747,Los Angeles Lakers,4,7,32,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,17,25,1,1,20220313,PHX,LAL
23,Shot Chart Detail,0022101019,581,1629117,Wenyen Gabriel,1610612747,Los Angeles Lakers,4,6,29,Missed Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,26,23,1,0,20220313,PHX,LAL
24,Shot Chart Detail,0022101019,636,1629117,Wenyen Gabriel,1610612747,Los Angeles Lakers,4,1,45,Missed Shot,Hook Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-42,53,1,0,20220313,PHX,LAL
25,Shot Chart Detail,0022101028,66,1629117,Wenyen Gabriel,1610612747,Los Angeles Lakers,1,6,43,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,225,35,1,0,20220314,LAL,TOR
26,Shot Chart Detail,0022101028,143,1629117,Wenyen Gabriel,1610612747,Los Angeles Lakers,1,1,18,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,13,1,1,20220314,LAL,TOR
27,Shot Chart Detail,0022101028,215,1629117,Wenyen Gabriel,1610612747,Los Angeles Lakers,2,8,40,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-224,72,1,0,20220314,LAL,TOR
28,Shot Chart Detail,0022101028,232,1629117,Wenyen Gabriel,1610612747,Los Angeles Lakers,2,7,8,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20220314,LAL,TOR
29,Shot Chart Detail,0022101028,325,1629117,Wenyen Gabriel,1610612747,Los Angeles Lakers,2,0,44,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-10,19,1,0,20220314,LAL,TOR
30,Shot Chart Detail,0022101028,382,1629117,Wenyen Gabriel,1610612747,Los Angeles Lakers,3,10,4,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-229,13,1,0,20220314,LAL,TOR
