,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100012,19,203115,Will Barton,1610612743,Denver Nuggets,1,10,25,Missed Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,91,234,1,0,20211020,PHX,DEN
1,Shot Chart Detail,0022100012,34,203115,Will Barton,1610612743,Denver Nuggets,1,9,15,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,8,1,1,20211020,PHX,DEN
2,Shot Chart Detail,0022100012,38,203115,Will Barton,1610612743,Denver Nuggets,1,8,45,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,5,1,1,20211020,PHX,DEN
3,Shot Chart Detail,0022100012,53,203115,Will Barton,1610612743,Denver Nuggets,1,7,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-183,185,1,0,20211020,PHX,DEN
4,Shot Chart Detail,0022100012,272,203115,Will Barton,1610612743,Denver Nuggets,2,2,11,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-50,115,1,1,20211020,PHX,DEN
5,Shot Chart Detail,0022100012,285,203115,Will Barton,1610612743,Denver Nuggets,2,1,14,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,129,131,1,1,20211020,PHX,DEN
6,Shot Chart Detail,0022100012,295,203115,Will Barton,1610612743,Denver Nuggets,2,0,34,Made Shot,Step Back Bank Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-236,12,1,1,20211020,PHX,DEN
7,Shot Chart Detail,0022100012,317,203115,Will Barton,1610612743,Denver Nuggets,3,10,6,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,4,92,1,0,20211020,PHX,DEN
8,Shot Chart Detail,0022100012,350,203115,Will Barton,1610612743,Denver Nuggets,3,7,15,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,232,25,1,0,20211020,PHX,DEN
9,Shot Chart Detail,0022100012,439,203115,Will Barton,1610612743,Denver Nuggets,3,1,54,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,145,221,1,1,20211020,PHX,DEN
10,Shot Chart Detail,0022100012,474,203115,Will Barton,1610612743,Denver Nuggets,3,0,0,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,91,96,1,0,20211020,PHX,DEN
11,Shot Chart Detail,0022100012,530,203115,Will Barton,1610612743,Denver Nuggets,4,7,42,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-120,218,1,0,20211020,PHX,DEN
12,Shot Chart Detail,0022100012,599,203115,Will Barton,1610612743,Denver Nuggets,4,2,45,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-224,42,1,1,20211020,PHX,DEN
13,Shot Chart Detail,0022100012,608,203115,Will Barton,1610612743,Denver Nuggets,4,1,38,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-125,215,1,1,20211020,PHX,DEN
14,Shot Chart Detail,0022100024,7,203115,Will Barton,1610612743,Denver Nuggets,1,11,44,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,233,17,1,1,20211022,DEN,SAS
15,Shot Chart Detail,0022100024,36,203115,Will Barton,1610612743,Denver Nuggets,1,9,8,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-32,0,1,0,20211022,DEN,SAS
16,Shot Chart Detail,0022100024,72,203115,Will Barton,1610612743,Denver Nuggets,1,5,47,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,21,-45,210,1,0,20211022,DEN,SAS
17,Shot Chart Detail,0022100024,92,203115,Will Barton,1610612743,Denver Nuggets,1,4,19,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,109,170,1,1,20211022,DEN,SAS
18,Shot Chart Detail,0022100024,299,203115,Will Barton,1610612743,Denver Nuggets,2,1,6,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-232,32,1,1,20211022,DEN,SAS
19,Shot Chart Detail,0022100024,346,203115,Will Barton,1610612743,Denver Nuggets,3,9,58,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-120,227,1,0,20211022,DEN,SAS
20,Shot Chart Detail,0022100024,361,203115,Will Barton,1610612743,Denver Nuggets,3,8,23,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-15,35,1,0,20211022,DEN,SAS
21,Shot Chart Detail,0022100024,363,203115,Will Barton,1610612743,Denver Nuggets,3,8,18,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211022,DEN,SAS
22,Shot Chart Detail,0022100024,365,203115,Will Barton,1610612743,Denver Nuggets,3,7,44,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,-125,122,1,0,20211022,DEN,SAS
23,Shot Chart Detail,0022100024,392,203115,Will Barton,1610612743,Denver Nuggets,3,5,52,Missed Shot,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-5,55,1,0,20211022,DEN,SAS
24,Shot Chart Detail,0022100024,434,203115,Will Barton,1610612743,Denver Nuggets,3,3,20,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-29,5,1,1,20211022,DEN,SAS
25,Shot Chart Detail,0022100024,592,203115,Will Barton,1610612743,Denver Nuggets,4,4,22,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-162,192,1,0,20211022,DEN,SAS
26,Shot Chart Detail,0022100024,638,203115,Will Barton,1610612743,Denver Nuggets,4,1,12,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-21,26,1,0,20211022,DEN,SAS
27,Shot Chart Detail,0022100048,27,203115,Will Barton,1610612743,Denver Nuggets,1,9,5,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,-70,158,1,1,20211025,DEN,CLE
28,Shot Chart Detail,0022100048,105,203115,Will Barton,1610612743,Denver Nuggets,1,4,4,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-223,89,1,0,20211025,DEN,CLE
29,Shot Chart Detail,0022100048,109,203115,Will Barton,1610612743,Denver Nuggets,1,3,45,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,47,112,1,0,20211025,DEN,CLE
30,Shot Chart Detail,0022100048,226,203115,Will Barton,1610612743,Denver Nuggets,2,6,37,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-7,265,1,0,20211025,DEN,CLE
31,Shot Chart Detail,0022100048,255,203115,Will Barton,1610612743,Denver Nuggets,2,4,49,Made Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-2,34,1,1,20211025,DEN,CLE
32,Shot Chart Detail,0022100048,266,203115,Will Barton,1610612743,Denver Nuggets,2,4,2,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,99,236,1,0,20211025,DEN,CLE
33,Shot Chart Detail,0022100048,367,203115,Will Barton,1610612743,Denver Nuggets,3,8,50,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,156,193,1,1,20211025,DEN,CLE
