,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100118,254,1626195,Willy Hernangomez,1610612740,New Orleans Pelicans,2,4,2,Made Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,-87,78,1,1,20211103,SAC,NOP
1,Shot Chart Detail,0022100118,399,1626195,Willy Hernangomez,1610612740,New Orleans Pelicans,3,5,29,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-15,15,1,1,20211103,SAC,NOP
2,Shot Chart Detail,0022100130,466,1626195,Willy Hernangomez,1610612740,New Orleans Pelicans,3,2,44,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-15,77,1,0,20211105,GSW,NOP
3,Shot Chart Detail,0022100240,568,1626195,Willy Hernangomez,1610612740,New Orleans Pelicans,4,4,45,Missed Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,23,21,1,0,20211120,IND,NOP
4,Shot Chart Detail,0022100240,573,1626195,Willy Hernangomez,1610612740,New Orleans Pelicans,4,4,30,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,4,1,1,20211120,IND,NOP
5,Shot Chart Detail,0022100240,580,1626195,Willy Hernangomez,1610612740,New Orleans Pelicans,4,3,46,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,10,1,1,20211120,IND,NOP
6,Shot Chart Detail,0022100240,621,1626195,Willy Hernangomez,1610612740,New Orleans Pelicans,4,0,36,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,4,1,1,20211120,IND,NOP
7,Shot Chart Detail,0022100259,121,1626195,Willy Hernangomez,1610612740,New Orleans Pelicans,1,3,32,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,8,1,1,20211122,NOP,MIN
8,Shot Chart Detail,0022100259,276,1626195,Willy Hernangomez,1610612740,New Orleans Pelicans,2,5,55,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,5,8,1,1,20211122,NOP,MIN
9,Shot Chart Detail,0022100259,289,1626195,Willy Hernangomez,1610612740,New Orleans Pelicans,2,4,18,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,16,-1,1,1,20211122,NOP,MIN
10,Shot Chart Detail,0022100259,346,1626195,Willy Hernangomez,1610612740,New Orleans Pelicans,2,0,52,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-21,2,1,1,20211122,NOP,MIN
11,Shot Chart Detail,0022100259,361,1626195,Willy Hernangomez,1610612740,New Orleans Pelicans,2,0,7,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,5,1,1,20211122,NOP,MIN
12,Shot Chart Detail,0022100259,568,1626195,Willy Hernangomez,1610612740,New Orleans Pelicans,4,11,40,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211122,NOP,MIN
13,Shot Chart Detail,0022100259,710,1626195,Willy Hernangomez,1610612740,New Orleans Pelicans,4,1,21,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-17,-5,1,1,20211122,NOP,MIN
14,Shot Chart Detail,0022100259,723,1626195,Willy Hernangomez,1610612740,New Orleans Pelicans,4,0,15,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,14,1,0,20211122,NOP,MIN
15,Shot Chart Detail,0022100259,726,1626195,Willy Hernangomez,1610612740,New Orleans Pelicans,4,0,13,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211122,NOP,MIN
16,Shot Chart Detail,0022100275,156,1626195,Willy Hernangomez,1610612740,New Orleans Pelicans,1,1,24,Missed Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,62,12,1,0,20211124,NOP,WAS
17,Shot Chart Detail,0022100275,205,1626195,Willy Hernangomez,1610612740,New Orleans Pelicans,2,10,4,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,9,29,1,1,20211124,NOP,WAS
18,Shot Chart Detail,0022100275,255,1626195,Willy Hernangomez,1610612740,New Orleans Pelicans,2,6,38,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,17,12,1,1,20211124,NOP,WAS
19,Shot Chart Detail,0022100275,263,1626195,Willy Hernangomez,1610612740,New Orleans Pelicans,2,6,12,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-31,1,1,0,20211124,NOP,WAS
20,Shot Chart Detail,0022100275,521,1626195,Willy Hernangomez,1610612740,New Orleans Pelicans,3,1,36,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-12,98,1,1,20211124,NOP,WAS
21,Shot Chart Detail,0022100275,584,1626195,Willy Hernangomez,1610612740,New Orleans Pelicans,4,9,0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-174,196,1,1,20211124,NOP,WAS
22,Shot Chart Detail,0022100275,650,1626195,Willy Hernangomez,1610612740,New Orleans Pelicans,4,5,7,Missed Shot,Turnaround Fadeaway Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-75,21,1,0,20211124,NOP,WAS
23,Shot Chart Detail,0022100275,682,1626195,Willy Hernangomez,1610612740,New Orleans Pelicans,4,3,33,Missed Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,61,3,1,0,20211124,NOP,WAS
24,Shot Chart Detail,0022100289,102,1626195,Willy Hernangomez,1610612740,New Orleans Pelicans,1,3,40,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-18,18,1,1,20211126,UTA,NOP
25,Shot Chart Detail,0022100289,156,1626195,Willy Hernangomez,1610612740,New Orleans Pelicans,2,11,40,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,5,12,1,1,20211126,UTA,NOP
26,Shot Chart Detail,0022100289,181,1626195,Willy Hernangomez,1610612740,New Orleans Pelicans,2,8,54,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-62,11,1,1,20211126,UTA,NOP
27,Shot Chart Detail,0022100289,301,1626195,Willy Hernangomez,1610612740,New Orleans Pelicans,2,0,50,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-56,15,1,0,20211126,UTA,NOP
28,Shot Chart Detail,0022100289,308,1626195,Willy Hernangomez,1610612740,New Orleans Pelicans,2,0,0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,142,220,1,1,20211126,UTA,NOP
29,Shot Chart Detail,0022100289,489,1626195,Willy Hernangomez,1610612740,New Orleans Pelicans,4,11,33,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-54,31,1,1,20211126,UTA,NOP
30,Shot Chart Detail,0022100289,505,1626195,Willy Hernangomez,1610612740,New Orleans Pelicans,4,9,47,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,2,34,1,0,20211126,UTA,NOP
31,Shot Chart Detail,0022100289,508,1626195,Willy Hernangomez,1610612740,New Orleans Pelicans,4,9,42,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,1,20,1,0,20211126,UTA,NOP
32,Shot Chart Detail,0022100289,534,1626195,Willy Hernangomez,1610612740,New Orleans Pelicans,4,7,35,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,21,6,1,1,20211126,UTA,NOP
33,Shot Chart Detail,0022100299,89,1626195,Willy Hernangomez,1610612740,New Orleans Pelicans,1,4,33,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-42,36,1,1,20211127,UTA,NOP
34,Shot Chart Detail,0022100299,196,1626195,Willy Hernangomez,1610612740,New Orleans Pelicans,2,9,24,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,1,74,1,0,20211127,UTA,NOP
35,Shot Chart Detail,0022100299,200,1626195,Willy Hernangomez,1610612740,New Orleans Pelicans,2,9,18,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211127,UTA,NOP
36,Shot Chart Detail,0022100299,231,1626195,Willy Hernangomez,1610612740,New Orleans Pelicans,2,7,0,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-16,20,1,1,20211127,UTA,NOP
