,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100507,536,1629875,Xavier Moon,1610612746,LA Clippers,4,9,55,Missed Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-16,42,1,0,20211227,LAC,BKN
1,Shot Chart Detail,0022100507,639,1629875,Xavier Moon,1610612746,LA Clippers,4,3,2,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,-96,160,1,1,20211227,LAC,BKN
2,Shot Chart Detail,0022100518,147,1629875,Xavier Moon,1610612746,LA Clippers,2,9,54,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,-66,118,1,0,20211229,BOS,LAC
3,Shot Chart Detail,0022100518,177,1629875,Xavier Moon,1610612746,LA Clippers,2,8,7,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,150,215,1,0,20211229,BOS,LAC
4,Shot Chart Detail,0022100518,366,1629875,Xavier Moon,1610612746,LA Clippers,3,4,18,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,8,88,-10,1,0,20211229,BOS,LAC
5,Shot Chart Detail,0022100518,401,1629875,Xavier Moon,1610612746,LA Clippers,3,2,4,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-70,38,1,0,20211229,BOS,LAC
6,Shot Chart Detail,0022100542,111,1629875,Xavier Moon,1610612746,LA Clippers,1,3,9,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,27,256,1,0,20220101,BKN,LAC
7,Shot Chart Detail,0022100542,124,1629875,Xavier Moon,1610612746,LA Clippers,1,2,23,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,-110,-17,1,0,20220101,BKN,LAC
8,Shot Chart Detail,0022100542,160,1629875,Xavier Moon,1610612746,LA Clippers,1,0,3,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,10,259,1,0,20220101,BKN,LAC
9,Shot Chart Detail,0022100542,175,1629875,Xavier Moon,1610612746,LA Clippers,2,11,18,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,-125,-1,1,1,20220101,BKN,LAC
10,Shot Chart Detail,0022100542,315,1629875,Xavier Moon,1610612746,LA Clippers,2,0,25,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,168,2,1,0,20220101,BKN,LAC
11,Shot Chart Detail,0022100542,443,1629875,Xavier Moon,1610612746,LA Clippers,3,2,26,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,22,-1,222,1,1,20220101,BKN,LAC
12,Shot Chart Detail,0022100542,500,1629875,Xavier Moon,1610612746,LA Clippers,4,11,3,Made Shot,Running Pull-Up Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,21,26,211,1,1,20220101,BKN,LAC
13,Shot Chart Detail,0022100542,502,1629875,Xavier Moon,1610612746,LA Clippers,4,10,33,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,-105,171,1,1,20220101,BKN,LAC
14,Shot Chart Detail,0022100542,508,1629875,Xavier Moon,1610612746,LA Clippers,4,9,57,Missed Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,94,15,1,0,20220101,BKN,LAC
15,Shot Chart Detail,0022100542,527,1629875,Xavier Moon,1610612746,LA Clippers,4,8,41,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,134,219,1,0,20220101,BKN,LAC
16,Shot Chart Detail,0022100542,535,1629875,Xavier Moon,1610612746,LA Clippers,4,8,6,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-9,4,1,0,20220101,BKN,LAC
17,Shot Chart Detail,0022100561,91,1629875,Xavier Moon,1610612746,LA Clippers,1,3,9,Missed Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-157,206,1,0,20220103,LAC,MIN
18,Shot Chart Detail,0022100561,143,1629875,Xavier Moon,1610612746,LA Clippers,2,11,27,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,-147,27,1,0,20220103,LAC,MIN
19,Shot Chart Detail,0022100561,164,1629875,Xavier Moon,1610612746,LA Clippers,2,9,53,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,-86,138,1,0,20220103,LAC,MIN
20,Shot Chart Detail,0022100561,382,1629875,Xavier Moon,1610612746,LA Clippers,3,3,23,Missed Shot,Running Pull-Up Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,10,157,1,0,20220103,LAC,MIN
21,Shot Chart Detail,0022100561,397,1629875,Xavier Moon,1610612746,LA Clippers,3,2,11,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,234,25,1,0,20220103,LAC,MIN
22,Shot Chart Detail,0022100561,399,1629875,Xavier Moon,1610612746,LA Clippers,3,2,5,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,15,32,1,1,20220103,LAC,MIN
23,Shot Chart Detail,0022100561,422,1629875,Xavier Moon,1610612746,LA Clippers,3,0,5,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,1,58,1,0,20220103,LAC,MIN
24,Shot Chart Detail,0022100561,453,1629875,Xavier Moon,1610612746,LA Clippers,4,10,46,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-18,172,1,1,20220103,LAC,MIN
25,Shot Chart Detail,0022100561,456,1629875,Xavier Moon,1610612746,LA Clippers,4,10,6,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-22,185,1,1,20220103,LAC,MIN
26,Shot Chart Detail,0022100561,462,1629875,Xavier Moon,1610612746,LA Clippers,4,9,38,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,208,157,1,1,20220103,LAC,MIN
27,Shot Chart Detail,0022100561,470,1629875,Xavier Moon,1610612746,LA Clippers,4,8,33,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,137,89,1,1,20220103,LAC,MIN
28,Shot Chart Detail,0022100561,492,1629875,Xavier Moon,1610612746,LA Clippers,4,7,2,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-89,239,1,0,20220103,LAC,MIN
29,Shot Chart Detail,0022100561,560,1629875,Xavier Moon,1610612746,LA Clippers,4,2,0,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,10,1,1,20220103,LAC,MIN
30,Shot Chart Detail,0022100629,445,1629875,Xavier Moon,1610612746,LA Clippers,3,0,27,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-53,245,1,1,20220113,NOP,LAC
31,Shot Chart Detail,0022100629,468,1629875,Xavier Moon,1610612746,LA Clippers,4,10,20,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,82,84,1,1,20220113,NOP,LAC
32,Shot Chart Detail,0022100629,507,1629875,Xavier Moon,1610612746,LA Clippers,4,6,15,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,-129,117,1,0,20220113,NOP,LAC
