,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100040,150,1630214,Xavier Tillman,1610612763,Memphis Grizzlies,1,1,47,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-7,100,1,1,20211024,LAL,MEM
1,Shot Chart Detail,0022100040,189,1630214,Xavier Tillman,1610612763,Memphis Grizzlies,2,11,6,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20211024,LAL,MEM
2,Shot Chart Detail,0022100040,207,1630214,Xavier Tillman,1610612763,Memphis Grizzlies,2,9,44,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-151,210,1,0,20211024,LAL,MEM
3,Shot Chart Detail,0022100040,214,1630214,Xavier Tillman,1610612763,Memphis Grizzlies,2,9,7,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,10,77,68,1,1,20211024,LAL,MEM
4,Shot Chart Detail,0022100040,241,1630214,Xavier Tillman,1610612763,Memphis Grizzlies,2,6,39,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-86,246,1,0,20211024,LAL,MEM
5,Shot Chart Detail,0022100040,492,1630214,Xavier Tillman,1610612763,Memphis Grizzlies,3,0,59,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,173,196,1,0,20211024,LAL,MEM
6,Shot Chart Detail,0022100040,508,1630214,Xavier Tillman,1610612763,Memphis Grizzlies,3,0,16,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,16,1,1,20211024,LAL,MEM
7,Shot Chart Detail,0022100063,515,1630214,Xavier Tillman,1610612763,Memphis Grizzlies,3,0,8,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-222,21,1,1,20211027,POR,MEM
8,Shot Chart Detail,0022100070,120,1630214,Xavier Tillman,1610612763,Memphis Grizzlies,1,3,15,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-15,104,1,1,20211028,GSW,MEM
9,Shot Chart Detail,0022100070,180,1630214,Xavier Tillman,1610612763,Memphis Grizzlies,2,10,36,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,13,-72,109,1,0,20211028,GSW,MEM
