,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022101185,11,1630285,Zavier Simpson,1610612760,Oklahoma City Thunder,1,11,13,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,28,-1,1,1,20220405,OKC,POR
1,Shot Chart Detail,0022101185,68,1630285,Zavier Simpson,1610612760,Oklahoma City Thunder,1,6,26,Made Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,10,-60,83,1,1,20220405,OKC,POR
2,Shot Chart Detail,0022101185,243,1630285,Zavier Simpson,1610612760,Oklahoma City Thunder,2,6,22,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,39,15,1,0,20220405,OKC,POR
3,Shot Chart Detail,0022101185,322,1630285,Zavier Simpson,1610612760,Oklahoma City Thunder,2,0,57,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,37,25,1,0,20220405,OKC,POR
4,Shot Chart Detail,0022101185,351,1630285,Zavier Simpson,1610612760,Oklahoma City Thunder,3,11,18,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,26,10,1,0,20220405,OKC,POR
5,Shot Chart Detail,0022101185,375,1630285,Zavier Simpson,1610612760,Oklahoma City Thunder,3,8,36,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,135,168,1,0,20220405,OKC,POR
6,Shot Chart Detail,0022101185,378,1630285,Zavier Simpson,1610612760,Oklahoma City Thunder,3,7,55,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-66,251,1,0,20220405,OKC,POR
7,Shot Chart Detail,0022101185,448,1630285,Zavier Simpson,1610612760,Oklahoma City Thunder,3,2,3,Made Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,58,13,1,1,20220405,OKC,POR
8,Shot Chart Detail,0022101185,452,1630285,Zavier Simpson,1610612760,Oklahoma City Thunder,3,1,26,Missed Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-49,28,1,0,20220405,OKC,POR
9,Shot Chart Detail,0022101185,511,1630285,Zavier Simpson,1610612760,Oklahoma City Thunder,4,8,32,Made Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-45,97,1,1,20220405,OKC,POR
10,Shot Chart Detail,0022101185,567,1630285,Zavier Simpson,1610612760,Oklahoma City Thunder,4,3,56,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-28,5,1,1,20220405,OKC,POR
11,Shot Chart Detail,0022101185,581,1630285,Zavier Simpson,1610612760,Oklahoma City Thunder,4,2,27,Missed Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,31,37,1,0,20220405,OKC,POR
12,Shot Chart Detail,0022101194,16,1630285,Zavier Simpson,1610612760,Oklahoma City Thunder,1,10,51,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-12,41,1,1,20220406,UTA,OKC
